section,title,key,style,ticker,contribution_ann_%,contribution_total_%,share_of_pnl_%,gross_contribution_ann_%,cost_ann_%,avg_gross_weight,avg_net_weight,days_held_%,long_days_%,short_days_%,ann_turnover_x
3.1,Price-momentum,3.1.price_momentum,momentum,NVDA,0.1731536340015505,1.788567100420778,-11.616798996315042,0.1762639281497584,0.003110294148207812,0.0026551091400265,0.001886068457217272,72.26277372262774,62.466384940453324,9.796388782174414,0.062205882964156245
3.1,Price-momentum,3.1.price_momentum,momentum,ALGN,0.11049004238214576,1.141291985399704,-7.412726974221191,0.1138309044721997,0.0033408620900539517,0.002700088490252066,4.950691733135523e-05,71.80176719170188,36.496350364963504,35.30541682673838,0.06681724180107904
3.1,Price-momentum,3.1.price_momentum,momentum,LRCX,0.10475784640718813,1.0820820404678997,-7.028156538650822,0.10871835682505775,0.003960510417869629,0.002496105968185165,0.0015661622863182428,63.65731847867845,51.13330772185939,12.524010756819054,0.07921020835739259
3.1,Price-momentum,3.1.price_momentum,momentum,ADBE,0.10296628956480548,1.0635763957824946,-6.907961800328172,0.10696528035403696,0.003998990789231474,0.0028557837081337506,3.261951883198596e-05,59.89243180945063,30.580099884748368,29.312331924702267,0.0799798157846295
3.1,Price-momentum,3.1.price_momentum,momentum,AMAT,0.10071566737535469,1.0403288975319374,-6.756968575483337,0.10521402585451514,0.004498358479160458,0.0023552661701738953,0.0012066401492679397,58.93200153668844,45.217057241644255,13.714944295044178,0.08996716958320915
3.1,Price-momentum,3.1.price_momentum,momentum,GNRC,0.10042756266720496,1.0373529588203751,-6.737639760909123,0.10432534169165027,0.0038977790244453287,0.002856898568095485,0.00041160388815589065,64.50249711870917,38.417210910487896,26.08528620822128,0.07795558048890656
3.1,Price-momentum,3.1.price_momentum,momentum,WDC,0.09511661549983386,0.982494246611379,-6.38133071732967,0.09899488943684306,0.0038782739370092456,0.0026102226686349956,-0.00013472481567386476,68.34421820975797,35.26699961582789,33.07721859393008,0.0775654787401849
3.1,Price-momentum,3.1.price_momentum,momentum,NFLX,0.09464042443850224,0.9775754952913545,-6.349383274382664,0.09771639150826868,0.003075967069766449,0.0032421149555589813,0.0009038623692515668,74.9519784863619,48.48252016903572,26.46945831732616,0.06151934139532898
3.1,Price-momentum,3.1.price_momentum,momentum,GE,0.09031167904807307,0.9328623038179927,-6.058969703816824,0.0935037315017991,0.0031920524537260332,0.0032309944917278724,-0.00019716287345428364,72.18593930080675,33.76872839031886,38.417210910487896,0.06384104907452065
3.1,Price-momentum,3.1.price_momentum,momentum,CAT,0.0868434931850531,0.8970381458757668,-5.826290682756236,0.09023318178658866,0.0033896886015355784,0.002536729831384585,0.0014633868792089957,57.89473684210527,42.41260084517864,15.482135996926624,0.06779377203071156
3.1,Price-momentum,3.1.price_momentum,momentum,CSGP,0.08544204801636616,0.8825621070896871,-5.732268360193562,0.08923592157979937,0.003793873563433214,0.0026378315814564375,-0.00011632482254616835,57.51056473300038,26.93046484825202,30.580099884748368,0.07587747126866427
