ticker,strategies,mean_contribution_ann_pct,best_contribution_ann_pct,worst_contribution_ann_pct,profitable_strategies_pct,avg_gross_weight,avg_net_weight
EQT,28,0.1287657851843008,3.960089038525627,-0.1160325106433322,25.0,0.0024885311668172657,0.0007692550313986451
AMAT,28,0.09627412125396151,1.7464488688775193,-0.08710183627065451,53.57142857142857,0.004319991895232383,0.0016960147946248974
RF,28,0.0929986486853317,2.674507547873746,-0.06298816628229871,46.42857142857143,0.0023117769347156683,0.0006443044235121697
NVDA,28,0.08602463514579539,0.7794759993558389,-0.17055460996136446,64.28571428571429,0.0030851012755427204,0.0013945717853946617
AMD,28,0.07624816834480032,0.47154552599885446,-0.05805861807208033,64.28571428571429,0.00301487104516173,0.001140303944344088
FIX,28,0.07480954464607346,0.2945544131860132,-0.032130340415081976,75.0,0.0028330483625829887,0.0011963989217395796
UAL,28,0.07193107786275442,2.3722778869549175,-0.10808724614130426,39.285714285714285,0.003344835051869357,0.0005584727044675442
MU,28,0.058864275400028636,0.4573979257760007,-0.13956353650571915,57.14285714285714,0.0027721365897295652,0.0009370648018515095
AVGO,28,0.04750132065551036,0.3057367273484024,-0.024695740762108332,67.85714285714286,0.0024992796273116047,0.001192282408541329
COHR,28,0.04704164187499682,0.19592076053945162,-0.05375178898979425,67.85714285714286,0.002612280343904543,0.0008794775065099703
WDC,28,0.04416177407405215,0.5869632411814955,-0.20261004922118953,60.71428571428571,0.00273340112946783,0.0008001162988624596
VMC,28,0.03886662206396945,1.490527634369855,-0.07424733266818274,21.428571428571427,0.0031951416231572037,0.0010172116069766086
ALB,28,0.037523015378254296,0.11131994785271734,-0.020621870531467395,82.14285714285714,0.002496664501508012,0.0008193055555206881
STX,28,0.03662977015838881,0.4096840214955229,-0.1788975153998818,64.28571428571429,0.0026165884763117097,0.0009747676007517382
TSLA,28,0.03353390857405046,1.1690385577552043,-0.18915192905463832,39.285714285714285,0.0029504729287862202,0.0010064232211216832
CIEN,28,0.03331173173891121,0.33946723792372246,-0.0888131886311585,46.42857142857143,0.002569282034696997,0.0009274674641401175
BLDR,28,0.03099808769704838,0.15448557530886897,-0.09088774786977076,64.28571428571429,0.002490376497756327,0.000884715696098494
FTNT,28,0.030752658481716887,0.17055787947056286,-0.06794827935468907,60.71428571428571,0.0025215548366075177,0.0010087815825757468
MRVL,28,0.03019501199235407,0.14687455975999616,-0.08091684077273988,75.0,0.0025239965328433746,0.0010331674974938976
CASY,28,0.029844658313904225,0.08769595277374839,-0.053020478611360056,82.14285714285714,0.002424701797246084,0.0010843130847625981
TER,28,0.02808498746262119,0.21191971952182143,-0.08053157331066677,64.28571428571429,0.0024753619422039305,0.0009128626129553409
FLEX,28,0.027046391670343978,0.12051902302630453,-0.06759214937253039,64.28571428571429,0.0022879494698503115,0.0008989907509214656
AMZN,28,0.02615560753917039,0.1460093105772126,-0.021011896249648783,57.14285714285714,0.0024724513823276297,0.001038092761928702
PWR,28,0.02513329673309995,0.17529584247666374,-0.05625224264232828,53.57142857142857,0.0025276476482498813,0.001190149155284479
DECK,28,0.02502916000966337,0.2069850304922492,-0.07351451425122306,50.0,0.002631115092947735,0.0011228359440322697
ON,28,0.023801973909432377,0.16195770736945553,-0.061171201026670535,71.42857142857143,0.0025080677124514803,0.0008374308827770948
TPR,28,0.023579455187524245,0.17405589704410362,-0.07150108335006285,67.85714285714286,0.002378896321064589,0.0007475081540529125
LLY,28,0.02295782611542648,0.18912716083527092,-0.08890835209677513,53.57142857142857,0.002702438958263943,0.0012489755713112115
GLW,28,0.022927304757475703,0.1667324634882845,-0.07074075066561014,64.28571428571429,0.0022429887806028996,0.0007637493786821839
FICO,28,0.022600485715172182,0.18953763631498968,-0.06712519359703643,67.85714285714286,0.0025508910707182464,0.0011486351321851852
CAT,28,0.02255919416514904,0.10528798565052237,-0.06727994359894073,60.71428571428571,0.0023651283560065877,0.0010096327251035632
WST,28,0.02240390146820376,0.13557782953949782,-0.07910413638151964,71.42857142857143,0.002441532370295673,0.0009251966923975499
FRT,28,0.02228713092194809,0.8151353272453312,-0.05784976656894665,42.857142857142854,0.002307567498227414,0.0006752843416711919
