ticker,days,total_return,cagr,ann_return,ann_volatility,sharpe,sortino,max_drawdown,hit_rate,calmar
NVDA,2603.0,239.2030746903766,0.7000710641185992,0.6524512127150756,0.494610608434354,1.3191209440095755,1.9561967908084965,-0.6633509723468691,0.5439877064925086,1.0553554502857183
FIX,2603.0,53.38081165497342,0.4723493771109215,0.4780368571284435,0.42600261856924526,1.1221453490918865,1.5190301456872615,-0.49678388583186395,0.5259316173645794,0.9508146109046454
AMD,2603.0,156.9264705882359,0.6324332682280092,0.663281352934037,0.5951931904996635,1.1143967429755266,1.7769798539129864,-0.6544994132542767,0.5140222819823281,0.9662854624780316
PWR,2603.0,24.34977118617248,0.36747895903763417,0.3700081455252082,0.3374822774512048,1.0963780033714694,1.5430580917834835,-0.45529414480975217,0.5343834037648867,0.8071242804828686
LLY,2603.0,17.85024738593451,0.328817053695841,0.3295448292007695,0.30143448500769565,1.0932552365146815,1.5589658977270782,-0.34829482719109994,0.53937764118325,0.9440767649283175
MU,2603.0,65.8052793346594,0.5019740687758378,0.538246510576333,0.5128473617597924,1.0495257472503818,1.578048926696898,-0.5782339524275005,0.5232424126008451,0.8681158667153427
AVGO,2603.0,30.865077657789453,0.3980991932852884,0.4124896236776461,0.3931814691600758,1.0491074886077842,1.4610675922527419,-0.48303828284508177,0.5366884364195159,0.8241566091625191
AAPL,2603.0,13.56591681418218,0.2960576814802649,0.3011882596405291,0.28918126148592654,1.041520664557952,1.434120376926429,-0.38517743022049056,0.5363042643104111,0.7686267632835858
LRCX,2603.0,36.17294145722053,0.4191092224378177,0.45266798406964387,0.452791789029035,0.9997265741950477,1.4232516062933034,-0.5639334415630406,0.5343834037648867,0.7431891630263722
APH,2603.0,10.71788515209625,0.2690442350948796,0.27761272970811074,0.2791558896555915,0.9944720494724844,1.2454795903647202,-0.3756262663649653,0.5474452554744526,0.716255116284843
FTNT,2603.0,26.35094609068197,0.37757503700366035,0.40364074910225745,0.40633988947799204,0.9933574319292107,1.2464876143330879,-0.3831589436970603,0.5474452554744526,0.9854266570433633
CTAS,2603.0,9.53084648493549,0.2559896847309866,0.2635395979217995,0.2660800034099364,0.9904524749865438,1.2592968542948406,-0.4838115275494037,0.5566653860929697,0.5291103459804326
TT,2603.0,10.01567045689886,0.26147459243155846,0.26979321932218936,0.273573955799221,0.986180203206893,1.3427435258394116,-0.4052205291907477,0.5382251248559354,0.6452649201997258
COST,2603.0,6.236801046109,0.21119449548245117,0.21572602919290065,0.21902137102459382,0.9849542452579977,1.2953530958196047,-0.3140223037019648,0.5405301575105648,0.6725461630995918
KLAC,2603.0,27.980448116500778,0.3853145628054686,0.4163778248610153,0.42484132944579894,0.980078433998349,1.3265915801286463,-0.435915282887541,0.5466769112562428,0.8839207477496802
STX,2603.0,29.446038466287238,0.39194684385069034,0.42859518909526795,0.4412856301169761,0.9712421158641761,1.2906411916705316,-0.5699220378369265,0.5409143296196696,0.6877201052590973
EME,2603.0,13.802488212686635,0.2980807505132248,0.3157654161590019,0.32913351814110603,0.9593839543975798,1.2140265689665872,-0.48000457710792155,0.5405301575105648,0.6209956419774014
CAT,2603.0,11.902018768430974,0.28092674106956994,0.29620110760791013,0.31142409377626096,0.9511181489403722,1.341619658440092,-0.4335161611433763,0.5286208221283135,0.6480190734496271
AJG,2603.0,6.2466853508677564,0.21135455150842097,0.21881473690485617,0.23156205278990022,0.944950756259663,1.165934741080409,-0.4494939358316362,0.5562812139838648,0.4702055682183587
RSG,2603.0,4.29606019184944,0.17513259975410445,0.1797291154498054,0.19075148020348426,0.9422160984443176,1.1770363904245518,-0.3402485693513073,0.5462927391471379,0.5147195771844074
CDNS,2603.0,13.717381689517904,0.2973563371043699,0.31770403505525163,0.33904901868228765,0.9370445497527373,1.3120340033586035,-0.3211697075731065,0.5420668459469843,0.9258542449452023
PGR,2603.0,6.775778761969043,0.21964696151045082,0.22922450178775838,0.2469443397640108,0.9282435953252213,1.2209184710872734,-0.34619875008584666,0.5355359200922013,0.6344533637281623
AMAT,2603.0,22.839956302062127,0.35937359595010854,0.4028777131096217,0.43673719357371354,0.9224717267905946,1.2835828877261724,-0.5513924310734537,0.5332308874375721,0.65175649083626
TPL,2603.0,25.251887606514995,0.3721161557227386,0.4251450884522917,0.4665400554084797,0.9112724267159771,1.2744189565361037,-0.6525052372416478,0.530157510564733,0.5702883815857093
WMT,2603.0,4.930117854732321,0.188068060634778,0.19620804853510035,0.21857801242641298,0.8976568427767009,1.211874852340019,-0.2573872277920536,0.5359200922013062,0.7306814026790815
AXON,2603.0,26.48060010346606,0.37820588878587613,0.43973848754469286,0.49208647421693175,0.8936203504566115,1.2896991164420384,-0.6010471445705325,0.5370726085286208,0.6292449638973269
GRMN,2603.0,8.200183485665967,0.23967105191791194,0.25522893666071483,0.2861141566521513,0.8920528073380665,1.2841633287944287,-0.5463179909005649,0.5366884364195159,0.4387024698250041
MSFT,2603.0,7.267706533888779,0.22691169200826744,0.2412517046369884,0.27080363162375576,0.8908732249653665,1.2125978649279958,-0.37148247930078715,0.5359200922013062,0.6108274404633183
CASY,2603.0,7.611748348974599,0.23176390665677338,0.247989223972855,0.28235204929397467,0.8782979425612657,1.2724236410343552,-0.3341708259630226,0.5243949289281599,0.6935491929580322
JBL,2603.0,13.215907121816059,0.29300941699409755,0.3265119995707959,0.37222413364328233,0.877191912235615,1.1632655010121302,-0.5734199978843192,0.5366884364195159,0.5109856964793348
GOOGL,2603.0,8.008601661471804,0.23714809475000198,0.2552082622605347,0.2909747594185291,0.8770804133338971,1.2107821585994591,-0.4431991265732069,0.5339992316557818,0.5350824957251585
MPWR,2603.0,20.96989422867156,0.34866536856942765,0.41049739769850496,0.4717992635192383,0.8700679069240776,1.213730645656173,-0.519415938173065,0.5447560507107184,0.6712642854121571
MSI,2603.0,5.820920211571059,0.20427447511178265,0.21721122514685431,0.25001102156281946,0.8688065981614188,1.1348107308633149,-0.32817857787403026,0.5424510180560891,0.6224491447159369
URI,2603.0,16.582236293951016,0.3198887659266896,0.3669187689326559,0.42366972207787823,0.8660490703303304,1.2924218427008862,-0.6325765575501584,0.5259316173645794,0.5056917808740089
WM,2603.0,3.6674583854460776,0.160845965785249,0.1681590787413226,0.19455548737564415,0.8643245225802558,1.111666952617298,-0.3006478077086615,0.549366116019977,0.5349979665945694
PH,2603.0,8.86221907447137,0.2480386891363524,0.27092627492222476,0.3137207488072794,0.8635905529112978,1.1583127061746616,-0.5467895388650108,0.5278524779101037,0.45362734929277276
CIEN,2603.0,17.824501424501385,0.32864124042807275,0.3839379312503586,0.447828840944202,0.8573318557171623,1.1858382774130267,-0.49536082474226883,0.5255474452554745,0.6634380920192092
FICO,2603.0,12.703393213572825,0.28842128080730345,0.32490373364733355,0.3790796332979472,0.8570857020745488,1.123523841004572,-0.6128399932840838,0.5432193622742989,0.47063064416163997
STLD,2603.0,12.859047870120152,0.28983089667104256,0.3310259422489412,0.39121617363551353,0.8461458512125575,1.2543754594655667,-0.6844846281900518,0.524010756819055,0.42342937260319163
ODFL,2603.0,9.169623049745736,0.2517527799617081,0.2790925028389955,0.3298938775605451,0.8460069186575733,1.1900602971522025,-0.4552708764665283,0.5389934690741452,0.5529736097235665
MS,2603.0,8.348637491198145,0.2415936312238567,0.26568622138116454,0.3142403785805985,0.8454872113547289,1.1823079289379277,-0.5132629292915868,0.5266999615827891,0.4707015009973696
TDY,2603.0,6.363540937718681,0.21323199024980255,0.23161882315667112,0.2749287150406223,0.8424686490912676,1.0644913935746232,-0.48946860884129295,0.5455243949289281,0.4356397660609562
MSCI,2603.0,7.974765592523571,0.2366974769388277,0.26094199102712523,0.3109046586022055,0.8392990706549489,1.111959247625037,-0.4374517663246682,0.5389934690741452,0.5410824579072688
JPM,2603.0,6.049846511275924,0.2081293533943276,0.22597668909159993,0.2716279940748636,0.8319344619145489,1.1151935989038766,-0.43632056788263385,0.5251632731463696,0.4770101817668894
TKO,2603.0,10.517111224496139,0.26692272365742986,0.303954593463513,0.365401193150421,0.8318379883844197,1.0825047848908427,-0.6907342792241906,0.5197848636189013,0.3864332952423158
DE,2603.0,7.430524584372849,0.22923029055222188,0.25248694860886783,0.30354243560958977,0.8318011552546529,1.1629272933339487,-0.379067339481469,0.5251632731463696,0.6047218176743713
TER,2603.0,15.671625197688872,0.3131107601520584,0.378416703441381,0.4596978560365546,0.823185704419056,1.116478496473427,-0.595023001930731,0.5363042643104111,0.5262162288450638
MA,2603.0,5.600712659490044,0.2004545225022598,0.21814829544865208,0.26624913192069505,0.8193389923000002,1.0767298868092956,-0.40997787995087065,0.5489819439108721,0.48893984847738886
GWW,2603.0,6.0869730741751304,0.20874384259737377,0.22937703108178367,0.28252125492518326,0.811893006572291,1.1411228615808364,-0.4159678028651963,0.5266999615827891,0.5018269230443826
WRB,2603.0,4.521736591632358,0.17988957754418977,0.19516300450533372,0.24314838645290981,0.8026498030787084,1.0190805783605432,-0.4534617739940686,0.5412985017287745,0.39670284875333894
CMI,2603.0,5.962884150706204,0.20667850169958402,0.22825592549266732,0.2845820172822333,0.802074311203913,1.1364213908615128,-0.44044534271060887,0.5278524779101037,0.46924892071200874
V,2603.0,4.492038904362599,0.1792737319615365,0.19444468169936935,0.24305955986374805,0.7999877964412065,1.056283885405032,-0.36365226177522125,0.5489819439108721,0.4929812098139739
TSLA,2603.0,19.798561000606675,0.3415306835152039,0.46646780920336095,0.5886483458410603,0.792438834660908,1.1750948090337048,-0.7363221699148719,0.5159431425278524,0.46383322066031113
GS,2603.0,6.239022445951843,0.21123048368615072,0.23635152613031427,0.2991214799161063,0.7901523026584485,1.1075699012877633,-0.4875006559481372,0.5228582404917403,0.43329271685866716
ETN,2603.0,6.31601302763017,0.21247166138896878,0.23829492000658697,0.30202103307779965,0.7890010757800534,1.036838060348603,-0.4454928535871363,0.5339992316557818,0.4769361835507207
CSX,2603.0,5.41011874005916,0.1970541904010692,0.21791541782115204,0.27675217500799437,0.7874027288669267,1.1276916737833265,-0.4054955299979499,0.5182481751824818,0.48595897074886485
TRGP,2603.0,12.315054710099263,0.28484039881323975,0.3738520478332048,0.47549805871349665,0.7862325428724055,0.876154197884981,-0.9077626423989553,0.539761813292355,0.313782904813629
APO,2603.0,9.14243614931239,0.2514284219262235,0.2947862606259534,0.37599163214480674,0.7840234606934591,1.059654154343993,-0.5347872177350579,0.5382251248559354,0.4701466556943497
MRVL,2603.0,16.109893895621244,0.3164136112199427,0.41025024077087535,0.5234373240303423,0.7837619174957692,1.15577238379404,-0.6194184388913098,0.5159431425278524,0.5108236877582913
AMZN,2603.0,6.905889739609709,0.22160793193298622,0.2527018734382735,0.324302712557981,0.7792160338254766,1.1140424811969458,-0.5614514659377179,0.5355359200922013,0.39470541155835065
MPC,2603.0,9.590265271188654,0.2566740199255173,0.3095268683302637,0.4005903854196881,0.7726767281395945,1.0124965449232866,-0.7966826433800598,0.5378409527468305,0.3221785011363304
WDC,2603.0,13.703692152981583,0.29723946083537967,0.3854526558917117,0.4988656149149141,0.7726582958768446,1.068207785005614,-0.7049511793523557,0.5228582404917403,0.4216454550915936
CPRT,2603.0,5.087901234567939,0.19109220944340555,0.21316773651384394,0.27644637354709994,0.7710997752608435,1.0303456371857596,-0.5744047619047619,0.5355359200922013,0.3326786651449962
NRG,2603.0,9.283174266817893,0.2530991112028451,0.3024422187299285,0.3933544463535765,0.768879623793729,1.0725014439741976,-0.48763120458302844,0.5336150595466769,0.5190379713686888
AME,2603.0,4.084859331500416,0.1705118995283481,0.18741476344088137,0.24396776032211864,0.7681947942360561,0.9776903664678798,-0.4271527459719162,0.5309258547829427,0.39918249651041376
TDG,2603.0,6.902860928145623,0.2215626155902517,0.2572748506075601,0.33730284633993113,0.762741415909312,0.9562170184775266,-0.6264195419637316,0.5512869765655013,0.353696844922312
SNPS,2603.0,7.086777753732948,0.22428630628243185,0.26497769234880875,0.34800193055853385,0.7614259263548527,0.9212135593686951,-0.42129077244905855,0.5432193622742989,0.5323788721471511
DECK,2603.0,9.977907411942976,0.2610552833830597,0.32203280700674636,0.4237395853520185,0.7599781048051483,1.036352214641767,-0.643494240509165,0.5316941990011526,0.4056839470334647
