section,key,title,style,folds,days,cagr,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,ann_turnover,gross_sharpe,cost_drag_ann,avg_gross_exposure,avg_net_exposure,total_return,gross_ann_return,bps_per_unit_traded
6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,125.0,2624.0,0.2602021060083817,0.24308413772985235,0.1529750849100051,1.589043979762183,2.1827045542774064,-0.20787432492129998,1.2517279664378596,0.5659298780487805,3.3046359683158073,1.5998180856529984,0.0016523179841578806,0.7018182861230194,0.7018182861230194,10.113568281258152,0.24473645571401023,735.5852204614812
-,benchmark.equal_weight,Equal-weighted buy & hold,benchmark,,2623.0,0.37462842621552417,0.3506942217294742,0.2541123774680322,1.3800753242474078,1.8452481265962006,-0.39986280952193476,0.9368923973285234,0.5657643919176516,0.09607319862752572,1.3802580085675207,4.803659931379434e-05,,,26.43681615909289,0.35074225832878797,36502.81522207979
4.1,4.1.momentum_rotation,Momentum rotation,momentum,125.0,2624.0,0.6110527763662648,0.5752933238211316,0.4457543589414762,1.2906061652145568,1.8476594744714454,-0.5805560437745166,1.052530212920482,0.5541158536585366,26.3140243902439,1.3200294695889774,0.013157012195121998,1.0,1.0,142.40739573370766,0.5884503360162536,218.62612699957265
4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,125.0,2624.0,0.3834352466290347,0.3719569130074393,0.3075921007709642,1.2092537879716285,1.5868532785949863,-0.47048193365729507,0.8149839966189515,0.5514481707317073,23.269547362141818,1.247261440114573,0.01163477368107102,0.9851371951219512,0.9851371951219512,28.360392067914937,0.38359168668851035,159.84707704825894
4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,125.0,2624.0,0.34263231314848364,0.34330545882426966,0.310951524842157,1.1040481599134655,1.330413665183372,-0.513262398421557,0.6675577914964852,0.4527439024390244,25.353658536585368,1.1450671967709551,0.012676829268292666,0.8216463414634146,0.8216463414634146,20.497038859270425,0.3559822880925623,135.4066744761429
3.1,3.1.price_momentum_long_only,Price-momentum (long-only),momentum,125.0,2624.0,0.4406569739911643,0.4529767020149845,0.4214737528619432,1.0747447473042535,1.4761643988782491,-0.6025928722609345,0.731268148489402,0.5564024390243902,41.53348909972954,1.1241019590622052,0.020766744549864657,1.0,1.0,43.7758213749902,0.4737434465648492,109.0630023707626
3.11,3.11.single_moving_average,Single moving average,technical,125.0,2624.0,0.2267862021427045,0.2349709903053392,0.2460864196802586,0.9548311955232568,1.1971802993681533,-0.44372411711620363,0.5110973088787805,0.5605945121951219,40.89557926829268,1.0377444063098036,0.02044778963414634,0.9942835365853658,0.8597560975609756,7.400857240414748,0.25541877993948553,57.456330124052755
3.15,3.15.channel,Channel (Donchian),technical,125.0,2624.0,0.21424878349587462,0.2278532268869189,0.2594221722547619,0.8783105349343805,1.1186746050778695,-0.4270358449534064,0.501711474640381,0.5201981707317073,21.36173780487805,0.9193259487716792,0.010680868902439022,0.9439786585365854,0.6896595528455284,6.548669563756796,0.23853409578935791,106.66418105501117
3.14,3.14.support_resistance,Support and resistance,technical,125.0,2624.0,0.14222940361019365,0.16531807950241234,0.2546559156519036,0.6491821683356861,0.8762455573904638,-0.5388340192442334,0.2639577282252596,0.5022865853658537,211.17164634146343,1.0641181365716792,0.10558582317073167,0.9371189024390244,0.8456554878048781,2.993632216171437,0.270903902673144,7.828611575774423
10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,125.0,2624.0,0.1071728339866469,0.11862679356803515,0.1830910505091833,0.6479114803161021,0.8366510445537975,-0.36412816769905865,0.29432722731635014,0.5396341463414634,35.668531406768565,0.7455748312976275,0.01783426570338434,1.0,0.429100254932129,1.8867012910306058,0.1364610592714195,33.258109849043066
