date,3.1.price_momentum,3.1.price_momentum_long_only,3.4.low_volatility,3.6.multifactor,3.7.residual_momentum,3.8.pairs_trading,3.9.mean_reversion_single_cluster,3.9.1.mean_reversion_multi_cluster,3.10.mean_reversion_weighted_regression,3.11.single_moving_average,3.12.two_moving_averages,3.13.three_moving_averages,3.14.support_resistance,3.15.channel,3.17.single_stock_knn,3.18.stat_arb_optimization,3.18.1.stat_arb_dollar_neutral,4.1.momentum_rotation,4.1.1.momentum_rotation_ma_filter,4.1.2.dual_momentum,4.3.r_squared,4.4.mean_reversion_ibs,4.6.multi_asset_trend,6.5.volatility_targeting,10.3.contrarian,10.3.1.contrarian_market_activity,10.4.trend_following,3.20.alpha_combo,benchmark.equal_weight
2016-03-11,-0.005787478860369902,0.006826864425486981,-0.00703127858549786,-0.0082734934372434,-0.00843131562828396,0.000647371746723524,0.006414923828649466,0.006296387309261451,0.004206088201191945,0.012054052940174502,0.011089849722828565,0.018067346764552794,0.015001154672078992,0.006421914586705271,-0.0019681535015385384,-0.0012739069466828868,0.0002269056454266518,0.01226007495885913,-0.007959289575989459,0.011496649340650061,-0.00658280887534773,0.005630966081623429,0.009390513895248084,0.018633085227539786,0.006352261305852684,0.003248454145515564,-0.006268537439105912,0.006111979023538487,0.018633085227539786
2016-03-14,0.0012833254040983634,-0.0004013417636144466,0.0008261107406005356,0.001514823125202244,0.0016278424427653817,8.001069932817104e-05,0.00017338849989906633,0.00026489042628619156,0.0005308064501783185,-0.0007493612236200118,-0.0009206042853826465,-0.0012110691015679686,-0.0018469731753981962,-0.0005321361997050738,0.0010111282345200959,-0.000773589585147408,-0.0008582427870391381,-0.00014910304966225934,0.0010133580994944418,0.00017699461699606462,0.0019502773311654259,-0.0008423350848398329,-0.0004388792414667997,-0.0014018847989351506,0.0001169662677537706,0.00018374927811330442,0.001278667361429203,-0.0003430927888604312,-0.0014018847989351508
2016-03-15,0.005869848919608445,0.0027211422615949204,0.0066722988833958306,0.007130218293828402,0.005245945740799739,-0.002698469814386261,-0.0040528940107848145,-0.004046106643631938,-0.001755039173949111,-0.0017772819236667617,-0.005132685354336388,-0.005290498600581887,-0.004807479879498822,-0.0017785401839396516,-0.0015945019664700883,-0.0006411504516424934,0.0014802772014440887,-0.0010147584376699206,0.005305652557867596,-0.0006149590960140897,0.0012763611115809606,-0.0024769730504768757,0.0010231986580014325,-0.005312094026675197,-0.003941251951258293,-0.0026066134819199144,0.003941933930385683,-0.0035075275008643833,-0.005312094026675198
2016-03-16,-0.0021511460986089965,0.006674686485829151,-0.004495676214939186,-0.0043901528399996155,-0.002139579352221855,0.0008040657156795604,-0.0046216605577366395,-0.0046512311946220915,-0.004895889030136425,0.007999564519614123,0.008134471402063382,0.009097558959631515,0.00785593776472836,-0.0013037787672431056,-0.0053445549959682355,-0.0021560874956155426,-0.00243170045954937,0.0089273550307114,-0.0005929905744285224,0.007349028791660078,-0.00043222086414724555,0.0006679782343168814,0.007372557518168745,0.009117892988504996,-0.004663521402779,-0.00391810300144386,-0.0015157671286650954,0.000674042022378159,0.009117892988505004
2016-03-17,-0.0027442710651600015,0.008784370433940727,0.000837123352021142,-0.0024899965008262697,-0.002968038083085227,0.0004086741558226068,-0.0037247309668846057,-0.0037138851354872864,-0.003634500998334956,0.009105911500035918,0.009198487684124665,0.009644228627311116,0.01040294236835655,-0.002189256499999593,-0.0033325979206551867,-0.001591023817707727,-0.0004088401801007329,0.00971104358560486,0.0002142483731074495,0.006743769474637302,-0.004477917906856191,-0.0074425836479753826,0.00916674752117096,0.00951034759381426,-0.0037484829357872273,-0.005354678653839124,-0.0018610051249755336,-0.0003658971602889645,0.009510347593814259
2016-03-18,-0.004652984204957331,-0.002851147703150798,-0.004849363569077564,-0.004858429114987044,-0.006192295905846049,0.0019018595724486808,0.0027204892903247104,0.0027390941666337507,0.003668918220941232,0.0021244507254636912,0.0051348238657458285,0.004636576445585429,0.00441253815072743,0.0030738627891835715,-0.0010191460009443918,-0.001537434448232755,0.0033100526767620075,0.0005826110767625723,-0.006282834021272875,-0.0001115826087023173,-0.005069398430953664,0.004604226304864631,-0.001670026121278633,0.005848608694632351,0.002564893149891193,0.0028277295877068734,-0.004611115016399641,0.0038540576818429763,0.00584860869463235
2016-03-21,-0.0011881448225809482,-0.0025742730895257854,-0.0003639890960146225,-0.0005830172717122392,-0.0007844017585444858,0.00042442814173626695,0.003118696462466477,0.0031234232741811324,0.0032957052679437383,-0.0019156535562044547,-0.0011705217433863031,-0.0019571130193878003,-0.0018148226853246553,0.001482469310092299,-0.0004982702767721049,-0.002509277810667598,0.0008633453557811023,-0.002568817182372162,-0.0017732247295182753,-0.001775092565287469,-0.0011909144632541151,0.0022898243298432397,-0.002002087386291629,-0.00106326259922737,0.003121272226522847,0.004795441593026508,-0.0007036357926687552,0.002097706947576095,-0.0010632625992273701
2016-03-22,0.0008667389048080129,-0.0015334391674110823,-0.001431200269662768,-0.00026892656292799687,-0.00016733361337645993,-0.0005183749318174438,0.002248316458119875,0.0022871311531493213,0.002284255127229201,-0.0005128729462380554,-0.00042798472601268797,-0.000678983926763622,-0.0005604806241216943,0.0009768649085019688,-0.0005556574958431292,-0.0012666673985196777,0.0005195574011593485,-0.0006127635944045037,-0.001056620852005973,-0.000688966161030671,0.00027041256522446276,-0.0006596512191210036,-0.001309781597734682,0.00015668073593204726,0.0021828514339098594,0.00319938515908671,-0.0007178568285074588,-0.0001779563962861974,0.00015668073593204702
2016-03-23,0.009127524132920922,0.0006895424481210432,0.009342287840433549,0.010273246343359682,0.0074565041245634065,-0.0008222283746603378,0.01092335297188449,0.010864291658866206,0.007672494684976138,-0.005920590154837082,-0.008417703929489996,-0.0074257494154895765,-0.010660113730499698,0.0007398000566643903,0.002664830046590078,-0.0020764083439824507,0.0013789808934944825,-0.003886591307846106,0.005421102581148282,-0.0024437684698116907,0.0051582044282803665,0.0026416167353279923,-0.0015677324560915702,-0.009024572774214023,0.01114752262641275,0.006573200296477063,0.005552168577722343,-0.000669394976714596,-0.009024572774214016
2016-03-24,-5.6699081196170305e-06,-9.47638182016245e-05,-0.0006008828921660094,-0.0004326677981659974,0.0008820235208369804,7.45056286989849e-05,0.0002746631273552015,0.00027463247548723663,-0.00012096251239888398,-0.0003080008077798154,-0.0011994687012409275,-0.0007650595359940584,-0.0016145797541285538,-0.0009169938032547258,0.0014589440822515448,-0.00038619000672470983,-0.0013367219459043077,0.0004160052489266917,0.0013383845359606417,-0.00015823270828937714,0.0014889421173255378,0.0017352324911917327,-0.00013227222055086206,-0.0010180353033287719,0.00027908922176453886,-0.0007116386887318288,0.0006014431776809418,-0.0005556923047103638,-0.0010180353033287714
