date,6.5.volatility_targeting,4.1.2.dual_momentum,3.15.channel,10.4.trend_following,4.6.multi_asset_trend,3.14.support_resistance,3.11.single_moving_average,3.12.two_moving_averages,3.13.three_moving_averages,3.20.alpha_combo,3.17.single_stock_knn,__benchmark__
2016-03-11,-0.007306880183266251,-0.007306880183266251,0.0,-0.007306880183266249,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251,-0.007306880183266251
2016-03-14,0.0,0.0,0.0,-5.551115123125783e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,-0.0024189475330458343,-0.0024189475330458343,0.0,-0.0024189475330458343,-0.002418947533045834,-0.0005,-0.0024189475330458343,-0.0024189475330458343,-0.0024189475330458343,-0.0024189475330458343,-0.0024189475330458343,-0.0024189475330458343
2016-03-16,0.003395082525164961,0.003395082525164961,0.0,0.0033950825251649604,0.003395082525164961,0.0,0.003395082525164961,0.003395082525164961,0.003395082525164961,0.003395082525164961,0.003395082525164961,0.003395082525164961
2016-03-17,0.00418857964560182,0.00418857964560182,0.0,0.00418857964560182,0.00418857964560182,0.0,0.00418857964560182,0.00418857964560182,0.00418857964560182,0.00418857964560182,0.00418857964560182,0.00418857964560182
2016-03-18,-0.012674651940842718,-0.012674651940842718,0.0,-0.012674651940842718,-0.012674651940842718,-0.013174651940842719,-0.012674651940842718,-0.012674651940842718,-0.012674651940842718,-0.012674651940842718,-0.012674651940842718,-0.012674651940842718
2016-03-21,0.002925264814178208,0.002925264814178208,0.0,0.002925264814178208,0.0029252648141782074,-0.0005,0.002925264814178208,0.002925264814178208,0.002925264814178208,0.002925264814178208,0.002925264814178208,0.002925264814178208
2016-03-22,-0.011665574779022192,-0.011665574779022192,0.0,-0.011665574779022192,-0.011665574779022192,0.0,-0.011665574779022192,-0.011665574779022192,-0.011665574779022192,-0.011665574779022192,0.010665574779022191,-0.011665574779022192
2016-03-23,0.006721237089183596,0.006721237089183596,0.0,0.006721237089183596,0.006721237089183596,0.0,0.006721237089183596,0.006721237089183596,0.006721237089183596,0.006721237089183596,0.005721237089183596,0.006721237089183596
2016-03-24,-0.008630564820799713,-0.008630564820799713,0.0,-0.008630564820799713,-0.008630564820799713,-0.009130564820799714,-0.008630564820799713,-0.008630564820799713,-0.0005,-0.008630564820799713,-0.008630564820799713,-0.008630564820799713
