date,6.5.volatility_targeting,3.20.alpha_combo,4.6.multi_asset_trend,3.12.two_moving_averages,3.11.single_moving_average,4.1.2.dual_momentum,3.14.support_resistance,3.13.three_moving_averages,10.4.trend_following,3.15.channel,3.17.single_stock_knn,__benchmark__
2016-03-11,0.003640357457796792,-0.009750746468005167,0.0,0.008750746468005166,0.008750746468005166,0.008750746468005166,0.008750746468005166,0.008750746468005166,0.008750746468005166,-0.009750746468005167,0.008750746468005166,0.008750746468005166
2016-03-14,0.001906448388784854,-0.004582749550833931,0.0,0.004582749550833931,0.004582749550833931,0.004582749550833931,0.004582749550833931,0.004582749550833931,0.004582749550833931,-0.004582749550833931,0.004582749550833931,0.004582749550833931
2016-03-15,0.00037968501032793696,-0.000912692586263919,0.000412692586263919,0.000912692586263919,0.000912692586263919,0.000912692586263919,0.000912692586263919,0.000912692586263919,0.000912692586263919,-0.000912692586263919,0.000912692586263919,0.000912692586263919
2016-03-16,0.015927222321887775,-0.03828609857526044,0.038286098575260434,0.03828609857526044,0.03828609857526044,0.03828609857526044,0.03828609857526044,0.03828609857526044,0.03828609857526044,-0.03828609857526044,0.03828609857526044,0.03828609857526044
2016-03-17,0.005113435216216465,-0.012291753124914484,0.012291753124914484,0.012291753124914484,0.012291753124914484,0.012291753124914484,0.012291753124914484,0.012291753124914484,0.012291753124914484,-0.012291753124914484,-0.013291753124914485,0.012291753124914484
2016-03-18,0.003247104998082421,-0.007805440241137385,0.007805440241137385,0.007805440241137385,0.007805440241137385,0.007805440241137385,0.007805440241137385,0.007805440241137385,0.007805440241137385,-0.007805440241137385,0.006805440241137385,0.007805440241137385
2016-03-21,-0.0028639639004747557,0.006884439859854208,-0.006884439859854208,-0.006884439859854208,-0.006884439859854208,-0.006884439859854208,-0.006884439859854208,-0.006884439859854208,-0.006884439859854208,0.006884439859854208,-0.006884439859854208,-0.006884439859854208
2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,-0.008651835939970107,0.02079741444931471,-0.02079741444931471,-0.02079741444931471,-0.02079741444931471,-0.02079741444931471,-0.02079741444931471,-0.02079741444931471,-0.02079741444931471,0.02079741444931471,-0.02079741444931471,-0.02079741444931471
2016-03-24,0.009939827024384233,-0.023893506952159305,0.023893506952159305,0.023893506952159305,0.023893506952159305,0.023893506952159305,-0.0005,0.023893506952159305,0.023893506952159305,-0.023893506952159305,0.023893506952159305,0.023893506952159305
2016-03-28,-0.005752657016577647,0.013828324183287388,-0.013828324183287388,-0.013828324183287388,-0.013828324183287388,-0.013828324183287388,-0.014328324183287389,-0.013828324183287388,-0.013828324183287388,0.013828324183287388,-0.013828324183287388,-0.013828324183287388
