date,6.5.volatility_targeting,4.1.2.dual_momentum,4.6.multi_asset_trend,3.17.single_stock_knn,3.20.alpha_combo,3.12.two_moving_averages,3.11.single_moving_average,10.4.trend_following,3.14.support_resistance,3.15.channel,3.13.three_moving_averages,__benchmark__
2016-03-11,0.011696489544289604,0.01684565934331056,0.01684565934331056,0.01684565934331056,0.01684565934331056,-0.01784565934331056,0.01684565934331056,0.01684565934331056,0.01684565934331056,0.0,-0.01784565934331056,0.01684565934331056
2016-03-14,0.005005729676940428,0.007209412412428229,0.007209412412428229,-0.00820941241242823,0.007209412412428229,-0.007209412412428229,0.007209412412428229,0.007209412412428229,0.007209412412428229,0.0,-0.007209412412428229,0.007209412412428229
2016-03-15,0.0003053829789431002,0.00043982235978079487,0.00043982235978079487,-0.0005601776402192052,0.00043982235978079487,-0.0005601776402192052,0.00043982235978079487,0.00043982235978079487,0.00043982235978079487,0.0,-0.0005,0.00043982235978079487
2016-03-16,0.006281273947396794,0.009046492176921328,0.009046492176921328,-0.010046492176921329,0.009046492176921328,0.009046492176921328,0.009046492176921328,0.009046492176921328,0.009046492176921328,0.0,0.0,0.009046492176921328
2016-03-17,0.0010267203964418365,0.0014787156414577396,0.0014787156414577396,0.00047871564145773957,0.0014787156414577396,0.0014787156414577396,0.0014787156414577396,0.0014787156414577396,0.0014787156414577396,0.0,0.0,0.0014787156414577396
2016-03-18,-0.0028104693008495427,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,-0.004047728017681829,0.0,0.0,-0.004047728017681829
2016-03-21,0.0062044542601180684,0.008935853999726628,0.008935853999726628,0.008935853999726628,0.008935853999726628,0.008935853999726628,0.008935853999726628,0.008935853999726628,-0.0005,0.0,0.0,0.008935853999726628
2016-03-22,-0.0019224253373385013,-0.0027687386222273735,-0.0027687386222273735,-0.0027687386222273735,-0.0027687386222273735,-0.0027687386222273735,-0.0027687386222273735,-0.0027687386222273735,-0.0032687386222273736,0.0,0.0,-0.0027687386222273735
2016-03-23,-0.0022746279215798654,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,-0.0032759920790442765,0.0,-0.0037759920790442765,-0.0032759920790442765
2016-03-24,-0.0028210169073802573,-0.0035905528195527836,-0.0035905528195527836,-0.0035905528195527836,-0.0035905528195527836,-0.0035905528195527836,-0.0035905528195527836,-0.0035905528195527836,-0.0005,0.0,-0.0035905528195527836,-0.0035905528195527836
2016-03-28,-0.0016005363607892143,-0.0020665088318626568,-0.0020665088318626568,-0.0020665088318626568,-0.0020665088318626568,-0.0020665088318626568,-0.0020665088318626568,-0.0020665088318626563,0.0,0.0,-0.0020665088318626568,-0.0020665088318626568
2016-03-29,0.01296526467739668,0.016739909582601298,0.016739909582601298,0.016739909582601298,0.016739909582601298,0.016739909582601298,0.016739909582601298,0.016739909582601298,0.0,0.0,0.016739909582601298,0.016739909582601298
2016-03-30,0.002477784927182583,0.0031991553337495926,0.0031991553337495926,0.0031991553337495926,0.0031991553337495926,0.0031991553337495926,0.0031991553337495926,0.0031991553337495926,0.0026991553337495926,0.0,0.0031991553337495926,0.0031991553337495926
2016-03-31,-0.005483819244060692,-0.007080352048110861,-0.007080352048110861,0.006080352048110861,-0.007080352048110861,-0.007080352048110861,-0.007080352048110861,-0.007080352048110861,-0.007080352048110861,0.0,-0.007080352048110861,-0.007080352048110861
2016-04-01,0.008431138070419687,0.008874152835558036,0.008874152835558034,-0.008874152835558036,0.008874152835558036,0.008874152835558036,0.008874152835558036,0.008874152835558036,-0.0005,0.0,0.008874152835558036,0.008874152835558036
2016-04-04,-0.005678705499628017,-0.005911865442758346,-0.005911865442758346,-0.006911865442758346,-0.005911865442758346,-0.005911865442758346,-0.005911865442758346,-0.005911865442758346,-0.006411865442758347,0.0,-0.005911865442758346,-0.005911865442758346
2016-04-05,-0.00822287064968241,-0.008560490562032785,-0.008560490562032785,0.007560490562032785,-0.008560490562032785,-0.008560490562032785,-0.008560490562032785,-0.008560490562032785,-0.008560490562032785,0.0,-0.008560490562032785,-0.008560490562032785
2016-04-06,0.012029450070000863,0.012523362968705376,0.012523362968705376,0.011523362968705375,0.012523362968705376,0.012523362968705376,0.012523362968705376,0.012523362968705376,-0.0005,0.0,0.012523362968705376,0.012523362968705376
2016-04-07,-0.012012719502118933,-0.010350582567256295,-0.010350582567256295,-0.010350582567256295,-0.010350582567256295,-0.010350582567256295,-0.010350582567256295,-0.010350582567256295,-0.010850582567256295,0.0,-0.010350582567256295,-0.010350582567256295
2016-04-08,-0.0009844731257132528,-0.0008550473921459245,-0.0008550473921459245,-0.0008550473921459245,-0.0008550473921459245,-0.0008550473921459245,-0.0008550473921459245,-0.0008550473921459245,-0.0005,0.0,-0.0008550473921459245,-0.0008550473921459245
2016-04-11,-0.00292584128223996,-0.002541189691084411,-0.002541189691084411,-0.002541189691084411,-0.002541189691084411,-0.002541189691084411,-0.002541189691084411,-0.002541189691084411,0.0,0.0,-0.0005,-0.002541189691084411
2016-04-12,0.008501466323434383,0.008949845142602664,0.008949845142602664,0.008949845142602664,0.008949845142602664,0.008949845142602664,0.008949845142602664,0.008949845142602664,0.0,0.0,0.0,0.008949845142602664
2016-04-13,0.009538820562825954,0.00993047159317162,0.00993047159317162,-0.0005,0.00993047159317162,0.00993047159317162,0.00993047159317162,0.00993047159317162,0.009430471593171619,0.0,0.0,0.00993047159317162
2016-04-14,0.004330670828039169,0.004508482296524008,0.004508482296524008,0.0,0.004508482296524008,0.004508482296524008,0.004508482296524008,0.004508482296524008,0.004508482296524008,0.0,0.0,0.004508482296524008
2016-04-15,0.005710711238942858,0.0059451852943051,0.0059451852943051,0.0,0.0059451852943051,0.0059451852943051,0.0059451852943051,0.0059451852943051,0.0059451852943051,0.0,0.005445185294305099,0.0059451852943051
2016-04-18,0.009457872756983903,0.009846200180249065,0.009846200180249065,-0.010346200180249066,0.009846200180249065,0.009846200180249065,0.009846200180249065,0.009846200180249065,0.009846200180249065,0.0,0.009846200180249065,0.009846200180249065
2016-04-19,-0.013938617121823644,-0.014510917829379744,-0.014510917829379744,0.014510917829379744,-0.014510917829379744,-0.014510917829379744,-0.014510917829379744,-0.014510917829379744,-0.014510917829379744,0.0,-0.014510917829379744,-0.014510917829379744
2016-04-20,-0.0016457576083054295,-0.001713330182791628,-0.0017133301827916279,-0.002713330182791628,-0.001713330182791628,-0.001713330182791628,-0.001713330182791628,-0.001713330182791628,-0.0005,0.0,-0.001713330182791628,-0.001713330182791628
2016-04-21,0.006296841617757543,0.00655538139123113,0.00655538139123113,-0.0005,0.00655538139123113,0.00655538139123113,0.00655538139123113,0.00655538139123113,0.0,0.0,0.00655538139123113,0.00655538139123113
2016-04-22,-0.05200555114923186,-0.05414082851996549,-0.05414082851996549,-0.05464082851996549,-0.05414082851996549,-0.05414082851996549,-0.05414082851996549,-0.05414082851996549,-0.05464082851996549,0.0,-0.05414082851996549,-0.05414082851996549
2016-04-25,0.0037167507920911466,0.006018086183075422,0.006018086183075422,-0.0005,0.006018086183075422,0.006018086183075422,0.006018086183075422,0.006018086183075422,-0.0005,0.005518086183075421,0.006018086183075422,0.006018086183075422
2016-04-26,-0.014609618207697402,-0.022689074148760424,-0.022689074148760424,-0.023189074148760425,-0.022689074148760424,-0.022689074148760424,-0.022689074148760424,-0.022689074148760424,-0.023189074148760425,-0.022689074148760424,-0.0005,-0.022689074148760424
2016-04-27,-0.0034707605195020814,-0.005390171163958457,-0.005390171163958457,-0.005390171163958457,-0.005390171163958457,-0.005390171163958457,-0.005390171163958457,-0.005390171163958457,-0.0005,-0.005390171163958457,0.0,-0.005390171163958457
2016-04-28,-0.01463713719870722,-0.022731811776715127,-0.0005,-0.022731811776715127,-0.022731811776715124,-0.022731811776715127,-0.022731811776715127,0.021731811776715126,0.0,-0.022731811776715127,0.0,-0.022731811776715127
2016-04-29,0.002575512651751356,-0.0005,0.0,0.0039998305702382275,-0.0049998305702382275,-0.0049998305702382275,-0.0005,-0.0039998305702382275,0.0,0.0039998305702382275,0.0,0.0039998305702382275
2016-05-02,0.005939658834656748,0.0,0.0,0.009224427209662656,-0.009224427209662656,-0.009224427209662656,0.0,-0.009224427209662656,0.0,0.009224427209662656,-0.009724427209662656,0.009224427209662656
2016-05-03,-0.00538081030689661,0.0,0.0,-0.008356522552332546,0.008356522552332546,0.008356522552332546,0.0,0.008356522552332546,-0.008856522552332546,-0.008356522552332546,0.008356522552332546,-0.008356522552332546
2016-05-04,0.002663126370999865,0.0,0.0,0.004135896697649466,-0.004135896697649466,-0.004135896697649466,0.0,-0.004135896697649466,-0.0005,0.004135896697649466,-0.004135896697649466,0.004135896697649466
2016-05-05,0.0030231541894228807,0.0,0.0,0.004695028206199936,-0.004695028206199936,-0.004695028206199936,0.0,-0.004695028206199936,0.0041950282061999355,0.004695028206199936,-0.004695028206199936,0.004695028206199936
2016-05-06,0.009432818911238117,0.0,0.0,0.01464938540256644,-0.01464938540256644,-0.01464938540256644,0.0,-0.01464938540256644,0.01464938540256644,0.01464938540256644,-0.01464938540256644,0.01464938540256644
2016-05-09,0.0035073456310911726,0.0049469886863457435,0.0,0.005446988686345744,0.004446988686345743,-0.005446988686345744,0.0049469886863457435,-0.005446988686345744,0.005446988686345744,0.005446988686345744,-0.005446988686345744,0.005446988686345744
2016-05-10,0.009051927771609989,0.014057852674827176,0.0,0.014057852674827176,0.014057852674827174,-0.014057852674827176,0.014057852674827176,-0.014057852674827176,0.014057852674827176,0.014057852674827176,-0.0005,0.014057852674827176
2016-05-11,-0.008066413901394025,-0.011942403219313502,0.0,0.010942403219313501,0.010942403219313501,0.011942403219313502,-0.011942403219313502,0.011942403219313502,-0.011942403219313502,-0.011942403219313502,0.011442403219313502,-0.011942403219313502
2016-05-12,-0.0022886862641787018,-0.003394791695640609,0.0,-0.004394791695640609,-0.004394791695640609,0.003394791695640609,-0.003394791695640609,0.003394791695640609,-0.0005,-0.003394791695640609,0.003394791695640609,-0.003394791695640609
2016-05-13,-0.00300008787062327,-0.004450008526196481,0.0,-0.004450008526196481,-0.004450008526196481,0.004450008526196481,-0.004450008526196481,0.004450008526196481,0.0,-0.004450008526196481,0.004450008526196481,-0.004450008526196481
2016-05-16,0.005087716394297895,0.007546572737148427,0.0,0.007546572737148427,0.007546572737148427,-0.007546572737148427,0.007546572737148427,-0.007546572737148427,0.0,0.007546572737148427,-0.007546572737148427,0.007546572737148427
2016-05-17,-0.009333172145106663,-0.013843826385510405,0.0,0.012843826385510404,0.012843826385510404,0.013843826385510405,-0.013843826385510405,0.013843826385510405,-0.014343826385510405,-0.013843826385510405,0.013843826385510405,-0.013843826385510405
2016-05-18,0.001488536507412486,-0.0005,0.0,0.0012079353789608014,0.0012079353789608014,-0.0022079353789608014,-0.0005,-0.0022079353789608014,-0.0005,0.0022079353789608014,-0.0022079353789608014,0.0022079353789608014
2016-05-19,-0.006693768440136298,0.0,0.0,-0.008963926323005023,-0.008963926323005023,0.008963926323005023,0.0,0.008963926323005023,0.0,-0.008963926323005023,0.008963926323005023,-0.008963926323005023
2016-05-20,0.006646889244078887,0.0,0.0,0.008947085138485633,0.008947085138485633,-0.008947085138485633,0.0,-0.008947085138485633,0.0,0.008947085138485633,-0.008947085138485633,0.008947085138485633
2016-05-23,-0.004590914682837069,0.0,0.0,-0.00617962824752305,0.00517962824752305,0.00617962824752305,0.0,0.00617962824752305,-0.006679628247523051,-0.00617962824752305,0.00617962824752305,-0.00617962824752305
2016-05-24,0.016344504191564347,0.0,0.0,0.022000617909878617,0.021000617909878616,-0.022000617909878617,0.0,-0.022000617909878617,-0.0005,0.022000617909878617,-0.022000617909878617,0.022000617909878617
2016-05-25,0.005138387530680838,0.006416557358389585,0.0,0.006916557358389586,-0.007916557358389587,-0.006916557358389586,0.006416557358389585,-0.006916557358389586,0.006416557358389585,0.006916557358389586,-0.0005,0.006916557358389586
2016-05-26,-0.0011777318974844685,-0.0015852930852564562,0.0,-0.0015852930852564562,0.0015852930852564562,0.0015852930852564562,-0.0015852930852564562,0.0015852930852564562,-0.0015852930852564562,-0.0015852930852564562,-0.002085293085256456,-0.0015852930852564562
2016-05-27,0.010756631698735421,0.014479028621945389,0.0,0.014479028621945389,-0.014479028621945389,-0.014479028621945389,0.014479028621945389,-0.014479028621945389,0.014479028621945389,0.014479028621945389,0.014479028621945389,0.014479028621945389
2016-05-31,0.0012422369193832226,0.0016721204569178916,0.0,0.0016721204569178916,0.0006721204569178916,-0.0016721204569178916,0.0016721204569178916,-0.0016721204569178916,0.0016721204569178916,-0.0005,0.0016721204569178916,0.0016721204569178916
2016-06-01,-0.00038706898266546036,-0.0005210165259575961,0.0,-0.0005210165259575961,-0.0005210165259575961,0.0005210165259575961,-0.0005210165259575961,0.0005210165259575961,-0.0005210165259575961,0.0,-0.0005210165259575961,-0.0005210165259575961
2016-06-02,-0.004158824948583321,-0.005598011268832193,0.0,-0.005598011268832193,-0.005598011268832193,0.005598011268832193,-0.005598011268832193,0.005598011268832193,-0.0005,0.0,-0.005598011268832193,-0.005598011268832193
2016-06-03,-0.008394745310499678,-0.011299797281239643,0.0,-0.011299797281239643,-0.011299797281239643,-0.012299797281239644,-0.011299797281239643,0.011299797281239643,0.0,0.0,-0.011299797281239643,-0.011299797281239643
2016-06-06,-0.005855609636017327,-0.00788197847554839,0.0,-0.00788197847554839,-0.00788197847554839,-0.00788197847554839,-0.00788197847554839,0.00788197847554839,0.0,0.0,-0.00788197847554839,-0.00788197847554839
2016-06-07,0.0010483067818185556,0.0014110796319553032,0.0,0.0014110796319553032,0.0014110796319553032,0.0014110796319553032,0.0014110796319553032,-0.0014110796319553032,0.0,0.0,0.0014110796319553032,0.0014110796319553032
2016-06-08,0.012031344870976863,0.016194863933832515,0.0,0.016194863933832515,0.016194863933832515,0.016194863933832515,0.016194863933832515,-0.016194863933832515,0.0,0.0,0.016194863933832515,0.016194863933832515
2016-06-09,-0.0004101651901852673,-0.0005521053146326782,0.0,-0.0005521053146326782,-0.0004478946853673218,-0.0005521053146326782,-0.0005521053146326782,0.0005521053146326782,-0.0010521053146326782,0.0,-0.0005521053146326782,-0.0005521053146326782
2016-06-10,-0.012693727859657408,-0.012565183431008098,0.0,-0.012565183431008098,0.012565183431008098,-0.012565183431008098,-0.012565183431008098,0.012565183431008098,-0.012565183431008098,0.0,-0.012565183431008098,-0.012565183431008098
2016-06-13,-0.001786763900776478,-0.001786763900776478,0.0,-0.001786763900776478,0.001786763900776478,-0.001786763900776478,-0.001786763900776478,0.001786763900776478,-0.0005,0.0,-0.001786763900776478,-0.001786763900776478
2016-06-14,0.0018720984761027015,0.0018720984761027015,0.0,0.0018720984761027015,-0.0018720984761027015,0.0018720984761027015,0.0018720984761027015,-0.0018720984761027015,0.0,0.0,0.0018720984761027015,0.0018720984761027015
2016-06-15,-0.0014454595669163295,-0.0014454595669163295,0.0,-0.0014454595669163295,0.0014454595669163295,-0.0014454595669163295,-0.0014454595669163295,0.0014454595669163295,0.0,0.0,-0.0005,-0.0014454595669163295
2016-06-16,-0.010844340124457896,-0.010844340124457896,0.0,-0.010844340124457896,0.010844340124457896,-0.010844340124457896,-0.010844340124457896,0.010844340124457896,-0.011344340124457897,0.0,0.0,-0.010844340124457896
2016-06-17,-0.027614779773619147,-0.0005,0.0,-0.027614779773619147,0.027614779773619143,-0.027614779773619147,-0.0005,0.027614779773619147,-0.0005,-0.028114779773619147,0.0,-0.027614779773619147
2016-06-20,0.00266940222833445,0.0,0.0,0.00266940222833445,0.0016694022283344496,0.00266940222833445,0.0,-0.0026694022283344494,0.0,0.00266940222833445,0.0,0.00266940222833445
2016-06-21,0.0038945772842886583,0.0,0.0,0.0038945772842886583,0.003894577284288658,0.0038945772842886583,0.0,-0.0038945772842886583,0.0,0.0038945772842886583,0.0,0.0038945772842886583
2016-06-22,0.0022430534887580844,0.0,0.0,0.0022430534887580844,0.002243053488758084,0.0022430534887580844,0.0,-0.0022430534887580844,0.0,0.0022430534887580844,0.0,0.0022430534887580844
