date,3.15.channel,6.5.volatility_targeting,4.6.multi_asset_trend,4.1.2.dual_momentum,3.11.single_moving_average,3.20.alpha_combo,3.17.single_stock_knn,3.13.three_moving_averages,10.4.trend_following,3.12.two_moving_averages,3.14.support_resistance,__benchmark__
2016-03-11,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.011946291733968939,0.0,0.011946291733968939
2016-03-14,-0.0004324227990146756,-0.0004324227990146756,-0.0004324227990146756,-0.0004324227990146756,-0.0004324227990146756,-0.0005675772009853244,-0.0005675772009853244,-0.0004324227990146756,-0.0004324227990146756,-0.0004324227990146756,-0.0009324227990146756,-0.0004324227990146756
2016-03-15,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,-0.003707882445834531,-0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316,0.0037078824458345316
2016-03-16,0.002955520184867444,0.002955520184867444,0.002955520184867444,0.002955520184867444,0.002955520184867444,-0.0029555201848674435,0.001955520184867444,0.002955520184867444,0.002955520184867444,0.002955520184867444,0.002955520184867444,0.002955520184867444
2016-03-17,0.005279504245445876,0.005279504245445876,0.005279504245445876,0.005279504245445876,0.005279504245445876,-0.005279504245445875,-0.006279504245445876,0.005279504245445876,0.005279504245445876,0.005279504245445876,0.005279504245445876,0.005279504245445876
2016-03-18,0.009649129280527635,0.009649129280527635,0.009649129280527635,0.009649129280527635,0.009649129280527635,-0.009649129280527633,-0.009649129280527635,0.009649129280527635,0.009649129280527635,0.009649129280527635,0.009649129280527635,0.009649129280527635
2016-03-21,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517,0.0029641796363951696,0.00296417963639517,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517,-0.00296417963639517
2016-03-22,0.0004249667133844337,0.0004249667133844337,0.0004249667133844337,0.0004249667133844337,0.0004249667133844337,-0.0005750332866155663,-0.0004249667133844337,0.0004249667133844337,0.0004249667133844337,0.0004249667133844337,-0.0005,0.0004249667133844337
2016-03-23,-0.003880773229661072,-0.003880773229661072,-0.0038807732296610715,-0.003880773229661072,-0.003880773229661072,0.0028807732296610715,0.003880773229661072,-0.003880773229661072,-0.003880773229661072,-0.003880773229661072,-0.004380773229661072,-0.003880773229661072
2016-03-24,0.001156354669534121,0.001156354669534121,0.001156354669534121,0.001156354669534121,0.001156354669534121,0.0001563546695341209,-0.001156354669534121,0.001156354669534121,0.001156354669534121,0.001156354669534121,-0.0005,0.001156354669534121
2016-03-28,0.011066928067752002,0.011066928067752002,0.011066928067752002,0.011066928067752002,0.011066928067752002,-0.012066928067752,-0.011066928067752002,0.011066928067752002,0.011066928067752,0.011066928067752002,0.010566928067752002,0.011066928067752002
2016-03-29,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378,0.011366771999697376,-0.012366771999697379,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378,-0.011366771999697378
2016-03-30,0.014356330989450994,0.014356330989450994,0.014356330989450994,0.014356330989450994,0.014356330989450994,0.013356330989450993,0.014356330989450994,0.014356330989450994,0.014356330989450994,0.014356330989450994,-0.0005,0.014356330989450994
2016-03-31,-0.0007198207557828074,-0.0007198207557828074,-0.0007198207557828074,-0.0007198207557828074,-0.0007198207557828074,-0.0002801792442171928,-0.00028017924421719267,-0.0007198207557828074,-0.0007198207557828074,-0.0007198207557828074,-0.0012198207557828074,-0.0007198207557828074
2016-04-01,0.005401246761011613,0.005401246761011613,0.005401246761011612,0.005401246761011613,0.005401246761011613,-0.005401246761011612,-0.005401246761011613,0.005401246761011613,0.005401246761011613,0.005401246761011613,0.005401246761011613,0.005401246761011613
2016-04-04,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053,0.006744805065035052,0.006744805065035053,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053,-0.006744805065035053
2016-04-05,-0.0035457468849058316,-0.0035457468849058316,-0.0035457468849058316,-0.0035457468849058316,-0.0035457468849058316,-0.004545746884905832,0.0035457468849058316,-0.0035457468849058316,-0.0035457468849058316,-0.0035457468849058316,-0.0005,-0.0035457468849058316
2016-04-06,0.006030875671455771,0.006030875671455771,0.006030875671455771,0.006030875671455771,0.006030875671455771,0.006030875671455771,-0.006030875671455771,0.006030875671455771,0.006030875671455771,0.006030875671455771,0.0,0.006030875671455771
2016-04-07,0.002098137534997324,0.002098137534997324,0.002098137534997324,0.002098137534997324,0.002098137534997324,-0.0030981375349973237,-0.002098137534997324,0.002098137534997324,0.002098137534997324,0.002098137534997324,0.0015981375349973241,0.002098137534997324
2016-04-08,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626,0.003170675339540962,-0.004170675339540963,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626,-0.0031706753395409626
2016-04-11,-0.00024016398329596012,-0.00024016398329596012,-0.00024016398329596014,-0.00024016398329596012,-0.00024016398329596012,0.0002401639832959601,-0.0007598360167040399,-0.00024016398329596012,-0.00024016398329596012,-0.00024016398329596012,-0.00024016398329596012,-0.00024016398329596012
2016-04-12,0.008644009725847113,0.008644009725847113,0.008644009725847113,0.008644009725847113,0.008644009725847113,0.007644009725847111,-0.008644009725847113,0.008644009725847113,0.008644009725847113,0.008644009725847113,0.008644009725847113,0.008644009725847113
2016-04-13,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0023326921252760932,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933,0.0033326921252760933
2016-04-14,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615,-0.002550276667292461,-0.0025502766672924615,-0.0025502766672924615,-0.0025502766672924615
2016-04-15,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767,0.0036873100556866763,-0.004687310055686677,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767,0.0036873100556866767
2016-04-18,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.0035615868488828592,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.004561586848882859,0.004561586848882859
2016-04-19,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,-0.0015899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696,0.0005899196439864696
2016-04-20,-0.004185337753884855,-0.004185337753884855,-0.004185337753884854,-0.004185337753884855,-0.004185337753884855,-0.004185337753884855,-0.005185337753884855,-0.004185337753884855,-0.004185337753884855,-0.004185337753884855,-0.004185337753884855,-0.004185337753884855
2016-04-21,-0.001657106878725445,-0.001657106878725445,-0.001657106878725445,-0.001657106878725445,-0.001657106878725445,-0.0016571068787254448,-0.001657106878725445,-0.001657106878725445,-0.001657106878725445,-0.001657106878725445,-0.0005,-0.001657106878725445
2016-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,-0.0016603099637453322,-0.0016603099637453322,-0.0016603099637453322,-0.0016603099637453322,-0.0016603099637453322,-0.001660309963745332,-0.0016603099637453322,-0.0016603099637453322,-0.0016603099637453322,-0.0016603099637453322,0.0,-0.0016603099637453322
2016-04-26,-0.01306554165474294,-0.01306554165474294,-0.013065541654742939,-0.01306554165474294,-0.01306554165474294,-0.013065541654742939,0.01206554165474294,-0.01306554165474294,-0.01306554165474294,-0.01306554165474294,0.0,-0.01306554165474294
2016-04-27,0.009507954985943146,0.009507954985943146,0.009507954985943146,0.009507954985943146,0.009507954985943146,0.009507954985943144,-0.009507954985943146,0.009507954985943146,-0.010507954985943146,0.009507954985943146,0.0,0.009507954985943146
2016-04-28,-0.004530255030625763,-0.004530255030625763,-0.004530255030625763,-0.004530255030625763,-0.004530255030625763,-0.004530255030625763,0.004530255030625763,-0.0005,-0.005530255030625763,-0.004530255030625763,-0.005030255030625763,-0.004530255030625763
