date,6.5.volatility_targeting,4.6.multi_asset_trend,4.1.2.dual_momentum,3.11.single_moving_average,3.20.alpha_combo,10.4.trend_following,3.14.support_resistance,3.12.two_moving_averages,3.15.channel,3.13.three_moving_averages,3.17.single_stock_knn,__benchmark__
2016-03-11,0.023246765916114152,0.030972492874265123,0.030972492874265123,0.030972492874265123,-0.031972492874265124,0.030972492874265123,0.030972492874265123,0.030972492874265123,-0.031972492874265124,0.030972492874265123,0.030972492874265123,0.030972492874265123
2016-03-14,-0.006707051545120302,-0.009956626762037788,-0.00995662676203779,-0.00995662676203779,0.00995662676203779,-0.00995662676203779,-0.00995662676203779,-0.00995662676203779,0.00995662676203779,-0.00995662676203779,0.00895662676203779,-0.00995662676203779
2016-03-15,-0.001235204795246687,-0.0016220221303914206,-0.0016220221303914206,-0.0016220221303914206,0.0016220221303914206,-0.0016220221303914206,-0.0005,-0.0016220221303914206,0.0016220221303914206,-0.0016220221303914206,0.0016220221303914206,-0.0016220221303914206
2016-03-16,0.01222336239123841,0.01478465070261925,0.01478465070261925,0.01478465070261925,-0.01478465070261925,0.014784650702619249,0.0,0.01478465070261925,-0.01478465070261925,0.01478465070261925,0.01378465070261925,0.01478465070261925
2016-03-17,0.012355413516161054,0.014889587094652821,0.014889587094652823,0.014889587094652823,-0.014889587094652823,0.014889587094652823,0.014389587094652823,0.014889587094652823,-0.014889587094652823,0.014889587094652823,-0.015889587094652824,0.014889587094652823
2016-03-18,0.0017016650441673603,0.0020506873240555556,0.0020506873240555556,0.0020506873240555556,-0.0020506873240555556,0.0020506873240555556,0.0020506873240555556,0.0020506873240555556,-0.0020506873240555556,0.0020506873240555556,-0.0020506873240555556,0.0020506873240555556
2016-03-21,-0.0031353018817217517,-0.0037783721584763175,-0.0037783721584763175,-0.0037783721584763175,0.0037783721584763175,-0.0037783721584763175,-0.0037783721584763175,-0.0037783721584763175,0.0037783721584763175,-0.0037783721584763175,-0.0047783721584763175,-0.0037783721584763175
2016-03-22,0.000786798287172941,0.0009481755999070085,0.0009481755999070085,0.0009481755999070085,-0.0009481755999070085,0.0009481755999070085,-0.0005,0.0009481755999070085,-0.0009481755999070085,0.0009481755999070085,-0.0019481755999070085,0.0009481755999070085
2016-03-23,0.0007861167015054493,0.000947354216701557,0.000947354216701557,0.000947354216701557,-0.000947354216701557,0.000947354216701557,0.0,0.000947354216701557,-0.000947354216701557,0.000947354216701557,-0.000947354216701557,0.000947354216701557
2016-03-24,-0.009161768605799966,-0.011040905382784794,-0.011040905382784794,-0.011040905382784794,0.011040905382784794,-0.011040905382784794,-0.011540905382784794,-0.011040905382784794,0.011040905382784794,-0.011040905382784794,-0.012040905382784794,-0.011040905382784794
