date,6.5.volatility_targeting,4.1.2.dual_momentum,3.14.support_resistance,4.6.multi_asset_trend,3.11.single_moving_average,3.12.two_moving_averages,10.4.trend_following,3.13.three_moving_averages,3.15.channel,3.20.alpha_combo,3.17.single_stock_knn,__benchmark__
2016-03-11,0.014984085705019969,0.01977418116235391,0.01977418116235391,0.01977418116235391,0.01977418116235391,-0.02077418116235391,0.01977418116235391,0.01977418116235391,0.01977418116235391,-0.02077418116235391,0.01977418116235391,0.01977418116235391
2016-03-14,0.004589124781358492,0.0060561709662958485,0.0060561709662958485,0.0060561709662958485,0.0060561709662958485,0.0050561709662958485,0.0060561709662958485,0.0060561709662958485,0.0060561709662958485,-0.0060561709662958485,-0.0005,0.0060561709662958485
2016-03-15,0.0053452462891866595,0.007054008536828249,0.007054008536828249,0.007054008536828249,0.007054008536828249,0.007054008536828249,0.007054008536828249,0.007054008536828249,0.007054008536828249,-0.007054008536828249,0.0,0.007054008536828249
2016-03-16,0.004031686226020558,0.004856806364263777,0.004856806364263777,0.004856806364263777,0.004856806364263777,0.004856806364263777,0.004856806364263777,0.004856806364263777,-0.0005,-0.004856806364263777,0.0,0.004856806364263777
2016-03-17,0.007558652781060734,0.009015421296056036,0.009015421296056036,0.009015421296056036,0.009015421296056036,0.009015421296056036,0.009015421296056036,0.009015421296056036,0.0,-0.009015421296056036,0.0,0.009015421296056036
2016-03-18,-0.007015511764022328,-0.007276577223882308,-0.007276577223882308,-0.007276577223882308,-0.007276577223882308,-0.007276577223882308,-0.007276577223882308,-0.007276577223882308,0.0,0.007276577223882308,0.0,-0.007276577223882308
2016-03-21,0.003459713023537417,0.003618795395725183,0.003618795395725183,0.003618795395725183,0.003618795395725183,0.003618795395725183,0.003618795395725183,0.003618795395725183,0.0,-0.003618795395725183,0.0,0.003618795395725183
2016-03-22,-0.0029169806510371166,-0.0030511074408707817,-0.0030511074408707817,-0.0030511074408707817,-0.0030511074408707817,-0.0030511074408707817,-0.0030511074408707817,-0.0030511074408707817,0.0,0.0030511074408707817,0.0,-0.0030511074408707817
2016-03-23,-0.0015072638412202892,-0.001576569909597314,-0.0005,-0.001576569909597314,-0.001576569909597314,-0.001576569909597314,-0.001576569909597314,-0.001576569909597314,0.0,0.001576569909597314,0.0,-0.001576569909597314
2016-03-24,0.058964385911428344,0.06167564962653094,0.0,0.06167564962653094,0.06167564962653094,0.06167564962653094,0.06167564962653094,0.06167564962653094,0.0,-0.06167564962653094,-0.06217564962653094,0.06167564962653094
2016-03-28,-0.0008585484794645752,-0.0011372976996011364,-0.0016372976996011364,-0.0011372976996011361,-0.0011372976996011364,-0.0011372976996011364,-0.0011372976996011364,-0.0011372976996011364,0.0,0.0011372976996011364,0.0011372976996011364,-0.0011372976996011364
2016-03-29,0.005700505842113863,0.009547036000742581,0.009547036000742581,0.009547036000742581,0.009547036000742581,0.009547036000742581,0.009547036000742581,0.009547036000742581,0.0,-0.009547036000742581,-0.0005,0.009547036000742581
2016-03-30,0.0005699086045631718,0.0009544658168230136,0.0009544658168230136,0.0009544658168230136,0.0009544658168230136,0.0009544658168230136,0.0009544658168230136,0.0009544658168230136,0.0,-0.0009544658168230136,0.0,0.0009544658168230136
2016-03-31,0.00015514410157305212,0.0002598306824068697,0.0002598306824068697,0.0002598306824068697,0.0002598306824068697,0.0002598306824068697,0.0002598306824068697,0.0002598306824068697,0.0,-0.0002598306824068697,0.0,0.0002598306824068697
2016-04-01,0.0049154739684199285,0.008232288192834503,0.008232288192834503,0.008232288192834503,0.008232288192834503,0.008232288192834503,0.008232288192834503,0.008232288192834503,0.0,-0.008232288192834503,0.0,0.008232288192834503
2016-04-04,-0.004910570002396882,-0.007305375300507455,-0.007305375300507455,-0.007305375300507455,-0.007305375300507455,-0.007305375300507455,-0.007305375300507455,-0.007305375300507455,0.0,0.007305375300507455,0.0,-0.007305375300507455
2016-04-05,-0.007916049568086085,-0.011861457594161906,-0.0005,-0.011861457594161906,-0.011861457594161906,-0.011861457594161906,-0.011861457594161906,-0.011861457594161906,0.0,0.011861457594161906,0.0,-0.011861457594161906
2016-04-06,0.0031574898353581293,0.004731202282649782,0.0,0.004731202282649782,0.004731202282649782,0.004731202282649782,0.004731202282649782,0.004731202282649782,0.0,-0.004731202282649782,0.0,0.004731202282649782
2016-04-07,-0.014957188174103356,-0.022411943195792983,0.0,-0.022411943195792983,-0.022411943195792983,-0.022411943195792983,-0.022411943195792983,-0.022411943195792983,0.0,0.022411943195792983,0.0,-0.022411943195792983
2016-04-08,0.003844138485994667,0.006512130181751008,0.0,0.006512130181751008,0.006512130181751008,0.006512130181751008,0.006512130181751008,-0.0005,0.0,-0.006512130181751008,0.0,0.006512130181751008
2016-04-11,0.0014256398072444868,0.0023928165068451968,0.0,0.0023928165068451968,0.0023928165068451968,0.0023928165068451968,0.0023928165068451963,0.0,0.0,-0.0023928165068451968,0.0,0.0023928165068451968
2016-04-12,0.006801398216489236,0.011405915429699487,0.0,0.011405915429699487,0.011405915429699487,0.011405915429699487,0.011405915429699487,0.0,0.0,-0.011405915429699487,-0.011905915429699487,0.011405915429699487
2016-04-13,0.00897215841053208,0.014740948540020504,0.014240948540020504,0.014740948540020504,0.014740948540020504,0.014740948540020504,0.014740948540020504,0.0,0.0,-0.014740948540020504,-0.014740948540020504,0.014740948540020504
2016-04-14,-0.0011037195209512133,-0.0018269193298797726,-0.0018269193298797726,-0.0018269193298797726,-0.0018269193298797726,-0.0018269193298797726,-0.0018269193298797726,-0.0023269193298797726,0.0,0.0018269193298797726,-0.0005,-0.0018269193298797726
2016-04-15,0.00036566651206851363,0.0006100876909553854,0.0006100876909553854,0.0006100876909553854,0.0006100876909553854,0.0006100876909553854,0.0006100876909553854,0.0006100876909553854,0.0,-0.0006100876909553854,0.0,0.0006100876909553854
2016-04-18,0.004024274614796791,0.006706007528663571,0.006706007528663571,0.006706007528663571,0.006706007528663571,0.006706007528663571,0.006706007528663571,0.006706007528663571,0.0,-0.006706007528663571,-0.007206007528663572,0.006706007528663571
2016-04-19,-0.002549737071905877,-0.004239188631235624,-0.004239188631235624,-0.004239188631235624,-0.004239188631235624,-0.004239188631235624,-0.004239188631235624,-0.004239188631235624,0.0,0.004239188631235624,0.004239188631235624,-0.004239188631235624
2016-04-20,0.002310656441282013,0.0038232099865971314,0.0038232099865971314,0.0038232099865971314,0.0038232099865971314,0.0038232099865971314,0.0038232099865971314,0.0038232099865971314,0.0,-0.0038232099865971314,-0.0038232099865971314,0.0038232099865971314
2016-04-21,-0.005549004916158226,-0.00917441806925956,-0.00917441806925956,-0.009174418069259558,-0.00917441806925956,-0.00917441806925956,-0.00917441806925956,-0.00917441806925956,0.0,0.00917441806925956,0.00917441806925956,-0.00917441806925956
2016-04-22,-0.002770538884207138,-0.004629959825922847,-0.0005,-0.004629959825922847,-0.004629959825922847,-0.004629959825922847,-0.004629959825922847,-0.004629959825922847,0.0,0.004629959825922847,0.004629959825922847,-0.004629959825922847
2016-04-25,0.0007824921669961014,0.0013164865748331867,0.0,0.0013164865748331867,0.0013164865748331867,0.0013164865748331867,0.0013164865748331867,0.0013164865748331867,0.0,-0.0013164865748331867,-0.0013164865748331867,0.0013164865748331867
2016-04-26,0.004687400622127209,0.004469963622373951,0.0,0.004469963622373951,0.004469963622373951,0.004469963622373951,0.004469963622373951,-0.0005,0.0,-0.004469963622373951,-0.0005,0.004469963622373951
2016-04-27,0.00835518808450372,0.007590766124319748,0.007090766124319747,0.007590766124319748,0.007590766124319748,0.007590766124319748,0.007590766124319748,0.0,0.0,-0.007590766124319748,0.0,0.007590766124319748
2016-04-28,-0.011087705714781744,-0.009958426517927998,-0.009958426517927998,-0.009958426517927998,-0.009958426517927998,-0.009958426517927998,-0.009958426517927998,0.0,0.0,0.009958426517927998,0.009458426517927998,-0.009958426517927998
2016-04-29,-0.013267685438051681,-0.012332687903443107,-0.0005,-0.012332687903443107,-0.012332687903443107,-0.012332687903443107,-0.012332687903443107,-0.012832687903443107,0.0,0.012332687903443107,-0.0005,-0.012332687903443107
2016-05-02,0.013435125991408144,0.013106817083822664,0.0,0.013106817083822664,0.013106817083822664,0.013106817083822664,0.013106817083822664,-0.0005,0.0,-0.013106817083822664,-0.013606817083822664,0.013106817083822664
2016-05-03,-0.009588625669815996,-0.00961551898498525,-0.01011551898498525,-0.00961551898498525,-0.00961551898498525,-0.00961551898498525,-0.00961551898498525,0.0,0.0,0.00961551898498525,0.00961551898498525,-0.00961551898498525
2016-05-04,0.002169188029975147,0.0022065189845212885,-0.0005,0.0022065189845212885,0.0022065189845212885,0.0022065189845212885,0.0022065189845212885,0.0,0.0,-0.0022065189845212885,-0.0005,0.0022065189845212885
