date,3.11.single_moving_average,4.6.multi_asset_trend,4.1.2.dual_momentum,3.14.support_resistance,10.4.trend_following,3.15.channel,3.13.three_moving_averages,6.5.volatility_targeting,3.17.single_stock_knn,3.12.two_moving_averages,3.20.alpha_combo,__benchmark__
2016-03-11,0.05831085600153035,0.05831085600153035,0.05831085600153035,-0.059310856001530354,0.05831085600153035,-0.059310856001530354,0.05831085600153035,0.011221210865327829,-0.059310856001530354,0.05831085600153035,-0.059310856001530354,0.05831085600153035
2016-03-14,-0.015928502812185497,-0.015928502812185493,-0.015928502812185497,-0.016928502812185497,-0.015928502812185497,0.015928502812185497,-0.015928502812185497,-0.0030231386046704104,0.015928502812185497,-0.015928502812185497,-0.016928502812185497,-0.015928502812185497
2016-03-15,-0.005394995805265812,-0.005394995805265812,-0.005394995805265812,0.004394995805265812,-0.005394995805265811,0.005394995805265812,-0.005394995805265812,-0.0010331157561381172,0.005394995805265812,-0.005394995805265812,0.004394995805265812,-0.005394995805265812
2016-03-16,0.027540198461712517,0.027540198461712517,0.027540198461712517,-0.027540198461712517,0.027540198461712517,-0.027540198461712517,0.027540198461712517,0.005364567709748147,-0.027540198461712517,0.027540198461712517,-0.027540198461712517,0.027540198461712517
2016-03-17,0.024771462826424173,0.02477146282642417,0.024771462826424173,0.023771462826424172,0.024771462826424173,-0.024771462826424173,0.024771462826424173,0.004824467250161182,0.023771462826424172,0.024771462826424173,0.023771462826424172,0.024771462826424173
2016-03-18,-0.016643636034893494,-0.01664363603489349,-0.016643636034893494,-0.016643636034893494,-0.016643636034893494,0.016643636034893494,-0.016643636034893494,-0.003353151224554763,0.015643636034893493,-0.016643636034893494,-0.016643636034893494,-0.016643636034893494
2016-03-21,0.005037485530834163,0.005037485530834163,0.005037485530834163,-0.006037485530834163,0.005037485530834163,-0.005037485530834163,0.005037485530834163,0.0010253168648995678,-0.005037485530834163,0.005037485530834163,-0.006037485530834163,0.005037485530834163
2016-03-22,0.00781865490389655,0.00781865490389655,0.00781865490389655,-0.00781865490389655,0.00781865490389655,-0.00781865490389655,0.00781865490389655,0.001640543305147876,-0.00781865490389655,0.00781865490389655,-0.00781865490389655,0.00781865490389655
2016-03-23,-0.04794124816151124,-0.047941248161511234,-0.04794124816151124,-0.04894124816151124,-0.04794124816151124,0.04794124816151124,-0.04794124816151124,-0.01037113127490815,0.04794124816151124,-0.04794124816151124,-0.04894124816151124,-0.04794124816151124
2016-03-24,0.020685596547047824,0.020685596547047824,0.020685596547047824,-0.021685596547047825,0.020685596547047824,-0.020685596547047824,0.020685596547047824,0.0044441970057658275,0.019685596547047823,0.020685596547047824,-0.021685596547047825,0.020685596547047824
2016-03-28,-0.009007175921103006,-0.009007175921103006,-0.009007175921103006,-0.010007175921103006,-0.009007175921103006,0.009007175921103006,-0.009007175921103006,-0.001934839413102802,-0.009007175921103006,-0.009007175921103006,-0.010007175921103006,-0.009007175921103006
2016-03-29,0.0030983950414191774,0.0030983950414191774,0.0030983950414191774,0.0030983950414191774,0.003098395041419177,-0.0030983950414191774,0.0030983950414191774,0.0006703647253196193,-0.0040983950414191775,0.0030983950414191774,0.0030983950414191774,0.0030983950414191774
2016-03-30,0.001647829822335689,0.001647829822335689,0.001647829822335689,0.001647829822335689,0.001647829822335689,-0.001647829822335689,0.001647829822335689,0.00036032162507644057,-0.001647829822335689,0.001647829822335689,0.001647829822335689,0.001647829822335689
2016-03-31,0.0034946911561459792,0.0034946911561459792,0.0034946911561459792,0.0034946911561459792,0.0034946911561459792,-0.0034946911561459792,0.0034946911561459792,0.000782283786132482,-0.0034946911561459792,0.0034946911561459792,0.0034946911561459792,0.0034946911561459792
2016-04-01,-0.02683891736598676,-0.02683891736598676,-0.02683891736598676,-0.02683891736598676,-0.02683891736598676,0.02683891736598676,-0.02683891736598676,-0.006021796385681121,0.02683891736598676,-0.02683891736598676,-0.02683891736598676,-0.02683891736598676
2016-04-04,-0.014315934970175803,-0.014315934970175803,-0.014315934970175803,0.013315934970175802,-0.014315934970175803,0.014315934970175803,-0.0005,-0.0034556191027444506,0.014315934970175803,-0.014315934970175803,0.013315934970175802,-0.014315934970175803
2016-04-05,0.0108929992194291,0.0108929992194291,0.0108929992194291,-0.0108929992194291,0.0108929992194291,-0.0108929992194291,0.0,0.0028296908540511303,-0.0108929992194291,0.0108929992194291,-0.0108929992194291,0.0108929992194291
2016-04-06,0.05134185971448035,0.05134185971448035,0.05134185971448035,0.05034185971448035,-0.052341859714480354,-0.05134185971448035,-0.051841859714480354,0.014537288261181782,-0.05134185971448035,0.05134185971448035,0.05034185971448035,0.05134185971448035
2016-04-07,-0.011455191114581598,-0.011455191114581596,-0.011455191114581598,-0.011455191114581598,0.011455191114581596,0.011455191114581598,0.011455191114581598,-0.0033430472786150655,-0.012455191114581599,-0.011455191114581598,-0.011455191114581598,-0.011455191114581598
2016-04-08,0.02988422866650109,0.02988422866650109,0.02988422866650109,0.02988422866650109,0.028884228666501085,-0.02988422866650109,0.02888422866650109,0.011531793392129874,-0.03088422866650109,0.02988422866650109,0.02988422866650109,0.02988422866650109
2016-04-11,-0.014015188192223249,-0.014015188192223249,-0.014015188192223249,-0.014015188192223249,-0.014015188192223249,0.014015188192223249,-0.014015188192223249,-0.005290446200890921,-0.01501518819222325,-0.014015188192223249,-0.014015188192223249,-0.014015188192223249
2016-04-12,0.06686695738839088,0.06686695738839087,0.06686695738839088,-0.06786695738839088,0.06686695738839088,-0.06686695738839088,0.06686695738839088,0.02489747220977153,-0.0005,0.06686695738839088,0.06686695738839088,0.06686695738839088
2016-04-13,-0.015575251843817473,-0.015575251843817473,-0.015575251843817473,-0.016575251843817473,-0.015575251843817473,0.015575251843817473,-0.015575251843817473,-0.005604540931085595,0.015075251843817472,-0.015575251843817473,-0.015575251843817473,-0.015575251843817473
2016-04-14,0.00972169722840488,0.00972169722840488,0.00972169722840488,0.00972169722840488,0.009721697228404878,-0.00972169722840488,0.00972169722840488,0.0034958807755655122,-0.0005,0.00972169722840488,0.00972169722840488,0.00972169722840488
2016-04-15,-0.017368289239162782,-0.017368289239162782,-0.017368289239162782,-0.017368289239162782,-0.017368289239162782,0.017368289239162782,-0.017368289239162782,-0.006263899117204988,0.01686828923916278,-0.017368289239162782,-0.017368289239162782,-0.017368289239162782
2016-04-18,0.0267053121222105,0.0267053121222105,0.0267053121222105,-0.0277053121222105,0.0267053121222105,-0.0267053121222105,0.0267053121222105,0.009663446401642973,-0.0267053121222105,0.0267053121222105,0.0267053121222105,0.0267053121222105
2016-04-19,0.0295660803600859,0.0295660803600859,0.0295660803600859,0.0285660803600859,0.0295660803600859,-0.0295660803600859,0.0295660803600859,0.010664412256297405,-0.0005,0.0295660803600859,0.0295660803600859,0.0295660803600859
2016-04-20,-0.0016433115972716017,-0.0016433115972716017,-0.0016433115972716017,-0.0016433115972716017,-0.0016433115972716015,0.0016433115972716017,-0.0016433115972716017,-0.0005895975997103728,0.0011433115972716017,-0.0016433115972716017,-0.0016433115972716017,-0.0016433115972716017
2016-04-21,0.0018287766818996243,0.0018287766818996243,0.0018287766818996243,0.0018287766818996243,0.001828776681899624,-0.0018287766818996243,0.0018287766818996243,0.0006532429817551381,-0.0018287766818996243,0.0018287766818996243,0.0018287766818996243,0.0018287766818996243
2016-04-22,0.025921802164993624,0.025921802164993624,0.025921802164993624,0.025921802164993624,0.025921802164993624,-0.025921802164993624,0.025921802164993624,0.009263575378112017,-0.025921802164993624,0.025921802164993624,0.025921802164993624,0.025921802164993624
