date,3.15.channel,3.11.single_moving_average,3.17.single_stock_knn,3.20.alpha_combo,6.5.volatility_targeting,4.6.multi_asset_trend,3.12.two_moving_averages,10.4.trend_following,4.1.2.dual_momentum,3.13.three_moving_averages,3.14.support_resistance,__benchmark__
2016-03-11,0.016650849566096138,0.016650849566096138,-0.01765084956609614,0.016650849566096134,0.01399309185558587,0.0,0.016650849566096138,0.016650849566096138,0.0,0.016650849566096138,0.016650849566096138,0.016650849566096138
2016-03-14,0.004215741061603939,0.004215741061603939,-0.004215741061603939,0.004215741061603938,0.003542837359752795,0.0,0.004215741061603939,0.004215741061603939,0.0,0.004215741061603939,0.004215741061603939,0.004215741061603939
2016-03-15,0.01422591415158414,0.01422591415158414,-0.01422591415158414,0.014225914151584139,0.011955217219554,0.0,0.01422591415158414,0.01422591415158414,0.0,0.01422591415158414,0.01422591415158414,0.01422591415158414
2016-03-16,0.006782750161252071,0.006782750161252071,-0.006782750161252071,-0.007782750161252071,0.005700108313580935,0.0,0.006782750161252071,0.006782750161252071,0.006282750161252071,0.006782750161252071,0.006782750161252071,0.006782750161252071
2016-03-17,0.020212500979436054,0.020212500979436054,-0.020212500979436054,-0.020212500979436054,0.016986243357352007,0.0,0.020212500979436054,0.020212500979436054,0.020212500979436054,0.020212500979436054,0.020212500979436054,0.020212500979436054
2016-03-18,-0.011416599157470286,-0.011416599157470286,0.011416599157470286,0.011416599157470286,-0.009594316497469916,0.0,-0.011416599157470286,-0.011416599157470286,-0.011416599157470286,-0.011416599157470286,-0.011416599157470286,-0.011416599157470286
2016-03-21,-0.0036237394727627326,-0.0036237394727627326,0.0036237394727627326,-0.004623739472762733,-0.0030453292549306103,0.0,-0.0036237394727627326,-0.0036237394727627326,-0.0036237394727627326,-0.0036237394727627326,-0.0036237394727627326,-0.0036237394727627326
2016-03-22,0.0065911069311916926,0.0065911069311916926,-0.0065911069311916926,0.0065911069311916926,0.005539054590100279,0.0,0.0065911069311916926,0.0065911069311916926,0.0065911069311916926,0.0065911069311916926,-0.007591106931191693,0.0065911069311916926
2016-03-23,-0.0009029612064237469,-0.0009029612064237469,0.0009029612064237469,-9.703879357625313e-05,-0.0007588332987672595,0.0,-0.0009029612064237469,-0.0009029612064237469,-0.0009029612064237469,-0.0009029612064237469,-0.001902961206423747,-0.0009029612064237469
2016-03-24,0.0002258497700025064,0.0002258497700025064,-0.0002258497700025064,-0.0002258497700025064,0.00018980032007753994,0.0,0.0002258497700025064,0.0002258497700025064,0.0002258497700025064,0.0002258497700025064,-0.0012258497700025064,0.0002258497700025064
2016-03-28,0.01751027579779363,0.01751027579779363,-0.01751027579779363,-0.01751027579779363,0.01471533909921781,0.0,0.01751027579779363,0.01751027579779363,0.01751027579779363,0.01751027579779363,0.016510275797793628,0.01751027579779363
2016-03-29,-0.019034721490185036,0.018034721490185035,-0.018034721490185035,-0.018034721490185035,0.015156074373281057,0.0,0.018034721490185035,0.018034721490185035,0.018034721490185035,0.018034721490185035,0.018034721490185035,0.018034721490185035
