date,6.5.volatility_targeting,4.1.2.dual_momentum,3.15.channel,4.6.multi_asset_trend,3.11.single_moving_average,3.14.support_resistance,3.12.two_moving_averages,3.17.single_stock_knn,3.13.three_moving_averages,10.4.trend_following,3.20.alpha_combo,__benchmark__
2016-03-11,0.010676855290155043,0.013392846332677733,-0.014392846332677733,0.0,0.013392846332677733,-0.014392846332677733,0.013392846332677733,-0.014392846332677733,0.013392846332677733,-0.014392846332677733,0.01339284633267773,0.013392846332677733
2016-03-14,-0.0012850528629629035,-0.0016119461260188928,0.0016119461260188928,0.0,-0.0016119461260188928,-0.0026119461260188928,-0.0016119461260188928,0.0016119461260188928,-0.0016119461260188928,0.0016119461260188928,0.0006119461260188927,-0.0016119461260188928
2016-03-15,-0.012872399690750644,-0.016146895907636516,0.016146895907636516,0.0,-0.016146895907636516,0.015146895907636515,-0.016146895907636516,0.016146895907636516,-0.016146895907636516,0.016146895907636516,-0.017146895907636513,-0.016146895907636516
2016-03-16,0.011953702529472143,-0.0005,-0.014994499478828915,0.0,-0.015994499478828916,-0.014994499478828915,0.014994499478828915,-0.014994499478828915,0.014994499478828915,-0.014994499478828915,0.014994499478828915,0.014994499478828915
2016-03-17,0.028710421476897226,0.03551381235737544,-0.03601381235737544,0.0,0.03501381235737544,0.03501381235737544,0.03601381235737544,-0.03601381235737544,0.03601381235737544,-0.03601381235737544,-0.03701381235737544,0.03601381235737544
2016-03-18,0.0035626841210322216,0.004468963910080559,-0.004468963910080559,0.0,0.004468963910080559,0.004468963910080559,0.004468963910080559,-0.004468963910080559,0.004468963910080559,-0.004468963910080559,-0.004468963910080559,0.004468963910080559
2016-03-21,-0.0050671108136328665,-0.006356088439281371,0.006356088439281371,0.0,-0.006356088439281371,-0.006356088439281371,-0.006356088439281371,0.006356088439281371,-0.006356088439281371,0.006356088439281371,0.006356088439281371,-0.006356088439281371
2016-03-22,0.01348598093259064,0.016916560669521408,-0.016916560669521408,0.0,0.016916560669521408,-0.01791656066952141,0.016916560669521408,-0.016916560669521408,0.016916560669521408,-0.016916560669521408,0.015916560669521403,0.016916560669521408
2016-03-23,0.004791716898649605,0.006010639495365622,-0.006010639495365622,0.0,0.006010639495365622,0.005010639495365622,0.006010639495365622,-0.006010639495365622,0.006010639495365622,-0.006010639495365622,-0.007010639495365622,0.006010639495365622
2016-03-24,-0.01201895443850629,-0.01507635024545062,0.01507635024545062,0.0,-0.01507635024545062,-0.01507635024545062,-0.01507635024545062,0.01507635024545062,-0.01507635024545062,0.01507635024545062,0.01507635024545062,-0.01507635024545062
2016-03-28,0.007704127483865838,0.009663912520563533,-0.009663912520563533,0.0,0.009663912520563533,-0.010663912520563534,0.009663912520563533,-0.009663912520563533,0.009663912520563533,-0.009663912520563533,0.008663912520563533,0.009663912520563533
2016-03-29,0.0105828047256517,0.013274871074639316,-0.013274871074639316,0.0,0.013274871074639316,0.012274871074639315,0.013274871074639316,-0.013274871074639316,0.013274871074639316,-0.013274871074639316,-0.014274871074639317,0.013274871074639316
2016-03-30,0.005972044364701206,0.0074912200544787755,-0.0074912200544787755,0.0,0.0074912200544787755,0.0074912200544787755,0.0074912200544787755,-0.0074912200544787755,0.0074912200544787755,-0.0074912200544787755,-0.0074912200544787755,0.0074912200544787755
2016-03-31,-0.006586343269975109,-0.008261785039868408,0.008261785039868408,0.0,-0.008261785039868408,-0.008261785039868408,-0.008261785039868408,0.008261785039868408,-0.008261785039868408,0.008261785039868408,0.008261785039868408,-0.008261785039868408
2016-04-01,0.006973307313159909,0.0087471854527994,-0.0087471854527994,0.0,0.0087471854527994,-0.0097471854527994,0.0087471854527994,-0.0087471854527994,0.0087471854527994,-0.0087471854527994,0.007747185452799398,0.0087471854527994
2016-04-04,-0.014319270288546024,-0.017961823154745593,0.017961823154745593,0.0,-0.017961823154745593,-0.018961823154745594,-0.017961823154745593,0.017961823154745593,-0.017961823154745593,0.017961823154745593,0.016961823154745592,-0.017961823154745593
2016-04-05,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,-0.001,0.0
2016-04-06,0.005530767964178782,0.006937691242686839,-0.006937691242686839,0.0,0.006937691242686839,-0.006937691242686839,0.006937691242686839,-0.006937691242686839,0.006937691242686839,-0.006937691242686839,0.006937691242686838,0.006937691242686839
2016-04-07,-0.010208413199767827,-0.01280524139079009,0.01280524139079009,0.0,-0.01280524139079009,-0.01380524139079009,-0.01280524139079009,0.01280524139079009,-0.01280524139079009,0.01280524139079009,0.011805241390790089,-0.01280524139079009
2016-04-08,0.003765361063455224,0.004723198052183353,-0.004723198052183353,0.0,0.004723198052183353,-0.005723198052183353,0.004723198052183353,-0.004723198052183353,0.004723198052183353,-0.004723198052183353,0.003723198052183352,0.004723198052183353
2016-04-11,0.004698719168955891,0.0058939848934975725,-0.0058939848934975725,0.0,0.0058939848934975725,0.0048939848934975725,0.0058939848934975725,-0.0058939848934975725,0.0058939848934975725,-0.0058939848934975725,-0.0068939848934975725,0.0058939848934975725
2016-04-12,0.004837975372055204,0.00606866525380001,-0.00606866525380001,0.0,0.00606866525380001,0.00606866525380001,0.00606866525380001,-0.0005,-0.0005,0.00506866525380001,-0.00606866525380001,0.00606866525380001
2016-04-13,0.0009394901302308456,0.0011784787377282502,-0.0011784787377282502,0.0,0.0011784787377282502,0.0011784787377282502,0.0011784787377282502,0.0,0.0,0.0011784787377282502,-0.0011784787377282502,0.0011784787377282502
2016-04-14,0.003754239440741158,0.004709247297964847,-0.004709247297964847,0.0,0.004709247297964847,0.004709247297964847,0.004709247297964847,0.0,0.0042092472979648465,0.004709247297964847,-0.004709247297964847,0.004709247297964847
2016-04-15,-0.00027474285647890816,-0.0003446322683811065,0.0003446322683811065,0.0,-0.0003446322683811065,-0.0003446322683811065,-0.0003446322683811065,0.0,-0.0003446322683811065,-0.0003446322683811065,0.0003446322683811065,-0.0003446322683811065
2016-04-18,0.007915275519867992,0.009928772643022166,-0.009928772643022166,0.0,0.009928772643022166,0.009928772643022166,0.009928772643022166,0.0,0.009928772643022166,0.009928772643022166,-0.009928772643022166,0.009928772643022166
2016-04-19,0.014859030876528097,0.018638888677769527,-0.018638888677769527,0.018138888677769523,0.018638888677769527,0.018638888677769527,0.018638888677769527,0.0,0.018638888677769527,0.018638888677769527,-0.018638888677769524,0.018638888677769527
2016-04-20,-0.0019769891950658573,-0.002479898038451056,0.002479898038451056,-0.002479898038451056,-0.002479898038451056,-0.002479898038451056,-0.002479898038451056,0.0,-0.002479898038451056,-0.002479898038451056,0.0024798980384510556,-0.002479898038451056
2016-04-21,-0.0027316986661233052,-0.0034265913949685922,0.0034265913949685922,-0.0034265913949685922,-0.0034265913949685922,-0.0034265913949685922,-0.0034265913949685922,0.0,-0.0034265913949685922,-0.0034265913949685922,0.0034265913949685922,-0.0034265913949685922
2016-04-22,-0.0010751355227043929,-0.0013486297651388313,0.0013486297651388313,-0.0013486297651388313,-0.0013486297651388313,-0.0013486297651388313,-0.0013486297651388313,0.0,-0.0013486297651388313,-0.0013486297651388313,0.001348629765138831,-0.0013486297651388313
2016-04-25,-0.0008611786533686112,-0.0010802462950100233,0.0010802462950100233,-0.0010802462950100233,-0.0010802462950100233,-0.0010802462950100233,-0.0010802462950100233,0.0,-0.0010802462950100233,-0.0010802462950100233,0.0010802462950100231,-0.0010802462950100233
2016-04-26,-0.0025323479954318935,-0.0031765296655239528,0.0031765296655239528,-0.0031765296655239528,-0.0031765296655239528,-0.0031765296655239528,-0.0031765296655239528,-0.0036765296655239528,-0.0031765296655239528,-0.0031765296655239528,0.0031765296655239523,-0.0031765296655239528
2016-04-27,0.004432307134908909,0.005559802651985191,-0.005559802651985191,0.005559802651985191,0.005559802651985191,-0.006559802651985191,0.005559802651985191,-0.0005,0.005559802651985191,0.005559802651985191,-0.00555980265198519,0.005559802651985191
2016-04-28,0.001236258570525308,0.0015507394839160416,-0.0015507394839160416,-0.0005,0.0015507394839160416,0.0005507394839160415,0.0015507394839160416,0.0,0.0015507394839160416,0.0015507394839160416,-0.0015507394839160416,0.0015507394839160416
2016-04-29,-0.014222415407747479,-0.01784033021512499,0.01784033021512499,-0.018340330215124986,-0.01784033021512499,-0.01784033021512499,-0.01784033021512499,0.0,-0.01784033021512499,-0.017840330215124985,0.017840330215124985,-0.01784033021512499
2016-05-02,-0.00022576987000921003,-0.00013727647969907775,0.00013727647969907775,-0.0001372764796990778,-0.00013727647969907775,-0.0008627235203009223,-0.00013727647969907775,0.0,-0.0005,-0.0001372764796990778,0.00013727647969907772,-0.00013727647969907775
2016-05-03,-0.018336100886786093,-0.01871504656484768,0.01871504656484768,-0.01871504656484768,-0.01871504656484768,0.01871504656484768,-0.01871504656484768,0.0,0.0,-0.01871504656484768,0.018715046564847678,-0.01871504656484768
2016-05-04,-0.0019849505957178206,-0.002025972863977432,0.002025972863977432,-0.0005,-0.002025972863977432,0.002025972863977432,-0.002025972863977432,0.0015259728639774321,0.0,-0.0020259728639774317,-0.003025972863977432,-0.002025972863977432
2016-05-05,0.002743255497241657,0.002799949383303746,-0.002799949383303746,0.002299949383303746,0.002799949383303746,-0.002799949383303746,0.002799949383303746,-0.002799949383303746,0.0,0.0027999493833037454,-0.0037999493833037455,0.002799949383303746
2016-05-06,0.009028133803516244,0.009214715035094745,-0.009214715035094745,0.009214715035094745,0.009214715035094745,-0.009214715035094745,0.009214715035094745,-0.009214715035094745,0.0,-0.010214715035094742,-0.009214715035094743,0.009214715035094745
2016-05-09,-0.013283079127748653,-0.01355759580159821,0.01355759580159821,-0.01355759580159821,-0.01355759580159821,0.01355759580159821,-0.01355759580159821,0.01355759580159821,0.0,-0.014557595801598211,0.013557595801598208,-0.01355759580159821
2016-05-10,0.011748274883237191,0.011991072303428663,-0.011991072303428663,-0.0005,0.011991072303428663,-0.011991072303428663,0.011991072303428663,-0.0005,0.0,0.011991072303428663,0.010991072303428662,0.011991072303428663
2016-05-11,-0.01317562795138013,-0.013165503860137595,0.013165503860137595,-0.013665503860137596,-0.0005,-0.014165503860137596,-0.013165503860137595,0.0,0.0,-0.013165503860137595,0.012165503860137594,-0.013165503860137595
2016-05-12,0.006459939375816015,0.006459939375816015,-0.006459939375816015,0.006459939375816015,0.0,-0.007459939375816015,0.006459939375816015,0.0,0.0,0.006459939375816015,-0.006459939375816015,0.006459939375816015
2016-05-13,-0.010534147443892694,-0.010534147443892694,0.010534147443892694,-0.010534147443892694,0.0,0.010534147443892694,-0.010534147443892694,0.0,0.0,-0.010534147443892694,0.010534147443892694,-0.010534147443892694
2016-05-16,0.012127129743439102,0.012127129743439102,-0.012127129743439102,0.012127129743439102,0.0,-0.012127129743439102,0.012127129743439102,0.0,0.0,0.012127129743439102,-0.012127129743439102,0.012127129743439102
2016-05-17,-0.0046675585038258305,-0.0046675585038258305,0.0046675585038258305,-0.0046675585038258305,0.0,-0.0056675585038258305,-0.0046675585038258305,0.0,0.0,-0.0046675585038258305,-0.0056675585038258305,-0.0046675585038258305
2016-05-18,-0.00825880747898422,-0.00825880747898422,0.00825880747898422,-0.00825880747898422,0.0,0.00725880747898422,-0.00825880747898422,0.0,0.0,-0.008258807478984219,0.00725880747898422,-0.00825880747898422
2016-05-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0
2016-05-20,-0.0018346705980288869,-0.0018346705980288869,0.0018346705980288869,-0.0018346705980288869,0.0,0.0018346705980288869,0.0018346705980288869,0.0,0.0013346705980288869,-0.0018346705980288869,0.0018346705980288869,-0.0018346705980288869
2016-05-23,0.001626136802225231,0.001626136802225231,-0.001626136802225231,0.001626136802225231,0.0,-0.001626136802225231,-0.001626136802225231,0.0,-0.001626136802225231,0.001626136802225231,-0.001626136802225231,0.001626136802225231
2016-05-24,0.011505618515676108,0.011505618515676108,-0.011505618515676108,0.011505618515676106,0.0,-0.011505618515676108,-0.011505618515676108,0.0,-0.011505618515676108,0.011505618515676108,-0.011505618515676108,0.011505618515676108
2016-05-25,0.0026518432356172905,0.0026518432356172905,-0.0026518432356172905,0.0026518432356172905,0.0,0.0016518432356172905,-0.0026518432356172905,0.0,-0.0026518432356172905,0.0026518432356172905,-0.0026518432356172905,0.0026518432356172905
2016-05-26,-0.004245466865582914,-0.004245466865582914,0.004245466865582914,-0.004245466865582914,-0.004745466865582915,-0.004245466865582914,0.004245466865582914,-0.004745466865582915,-0.0005,-0.004245466865582914,-0.005245466865582914,-0.004245466865582914
2016-05-27,-6.99540785562558e-05,-6.99540785562558e-05,6.99540785562558e-05,-6.99540785562558e-05,-0.0005,-6.99540785562558e-05,6.99540785562558e-05,-0.0005,0.0,-6.995407855625583e-05,-0.0009300459214437442,-6.99540785562558e-05
2016-05-31,-0.0029361276804605874,-0.0029361276804605874,0.0029361276804605874,-0.002936127680460587,-0.0034361276804605874,-0.0029361276804605874,0.0029361276804605874,0.0,0.0,-0.0029361276804605874,0.0029361276804605874,-0.0029361276804605874
2016-06-01,0.00953433639532153,0.00953433639532153,-0.00953433639532153,0.00953433639532153,-0.0005,-0.01053433639532153,-0.00953433639532153,-0.01003433639532153,0.0,0.00953433639532153,-0.00953433639532153,0.00953433639532153
2016-06-02,-0.0034718032224194673,-0.0034718032224194673,0.0034718032224194673,-0.0034718032224194673,-0.003971803222419468,-0.004471803222419467,0.0034718032224194673,-0.0005,0.0,-0.0034718032224194673,-0.004471803222419467,-0.0034718032224194673
2016-06-03,-0.0017423556666344986,-0.0017423556666344986,0.0017423556666344986,-0.0017423556666344986,-0.0017423556666344986,-0.0017423556666344986,0.0017423556666344986,0.0,0.0,-0.0017423556666344986,-0.0017423556666344986,-0.0017423556666344986
2016-06-06,0.016125695803313578,0.016125695803313578,-0.016125695803313578,0.016125695803313578,0.016125695803313578,0.016125695803313578,-0.016125695803313578,0.0,0.0,0.016125695803313578,-0.01712569580331358,0.016125695803313578
2016-06-07,-0.002129513954846174,-0.002129513954846174,-0.003129513954846174,-0.002129513954846174,-0.002129513954846174,-0.002129513954846174,0.002129513954846174,0.0,0.0,-0.002129513954846174,0.002129513954846174,-0.002129513954846174
2016-06-08,0.011290867781585723,0.011290867781585723,0.011290867781585723,0.011290867781585723,0.011290867781585723,0.011290867781585723,-0.011290867781585723,0.0,0.0,0.011290867781585723,-0.011290867781585723,0.011290867781585723
2016-06-09,-0.0019743954365806227,-0.0019743954365806227,-0.0019743954365806227,-0.0019743954365806227,-0.0019743954365806227,-0.0019743954365806227,0.0019743954365806227,0.0,0.0,-0.0019743954365806227,0.0019743954365806227,-0.0019743954365806227
2016-06-10,-0.001432505715595056,-0.001432505715595056,0.000432505715595056,-0.001432505715595056,-0.001432505715595056,-0.001432505715595056,0.001432505715595056,0.0,-0.001932505715595056,-0.001432505715595056,-0.002432505715595056,-0.001432505715595056
2016-06-13,-0.016121281796816267,-0.016121281796816267,0.016121281796816267,-0.016121281796816267,-0.016121281796816267,-0.016121281796816267,0.016121281796816267,0.0,-0.016121281796816267,-0.016121281796816267,-0.016121281796816267,-0.016121281796816267
2016-06-14,-0.0009026792784130322,-0.0009026792784130322,0.0009026792784130322,-0.0009026792784130322,-0.0009026792784130322,-9.732072158696783e-05,-0.0019026792784130322,0.0,-0.0009026792784130322,-0.0009026792784130322,-0.0009026792784130322,-0.0009026792784130322
2016-06-15,-0.001737291725761314,-0.001737291725761314,0.001737291725761314,-0.001737291725761314,-0.001737291725761314,0.001737291725761314,-0.001737291725761314,-0.002237291725761314,-0.0005,-0.001737291725761314,-0.0017372917257613139,-0.001737291725761314
2016-06-16,0.004942701710129116,0.004942701710129116,-0.004942701710129116,0.004942701710129116,-0.0005,-0.004942701710129116,0.004942701710129116,-0.0005,0.0,0.004942701710129116,0.004942701710129115,0.004942701710129116
2016-06-17,-0.007273593884949192,-0.007273593884949192,0.007273593884949192,-0.007273593884949192,-0.007773593884949193,0.007273593884949192,-0.007273593884949192,0.0,0.0,-0.007273593884949192,-0.007273593884949192,-0.007273593884949192
