date,6.5.volatility_targeting,4.6.multi_asset_trend,4.1.2.dual_momentum,3.20.alpha_combo,3.11.single_moving_average,3.12.two_moving_averages,10.4.trend_following,3.15.channel,3.17.single_stock_knn,3.14.support_resistance,3.13.three_moving_averages,__benchmark__
2016-03-11,-0.0040254377105343065,-0.004060305432980915,-0.004060305432980915,0.0030603054329809147,-0.004060305432980915,-0.004060305432980915,-0.004060305432980914,-0.004060305432980915,-0.004060305432980915,0.0030603054329809147,-0.004060305432980915,-0.004060305432980915
2016-03-14,0.002804700945034928,0.0028289948333346526,0.0028289948333346526,-0.0028289948333346526,0.0028289948333346526,0.0028289948333346526,0.0028289948333346526,0.0028289948333346526,-0.0005,-0.0028289948333346526,0.0028289948333346526,0.0028289948333346526
2016-03-15,0.010743718937262127,0.010836779378607051,0.010836779378607053,-0.010836779378607053,0.010836779378607053,0.010836779378607053,0.010836779378607051,0.010836779378607053,0.010336779378607053,0.009836779378607052,0.010836779378607053,0.010836779378607053
2016-03-16,-0.001455651097963198,-0.0014682597239344952,-0.0014682597239344952,0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952,-0.0014682597239344952
2016-03-17,-0.007874494330389392,-0.007942701989397727,-0.007942701989397727,0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727,-0.007942701989397727
2016-03-18,-0.007349129632203825,-0.007412786662983172,-0.007412786662983173,0.007412786662983173,-0.007412786662983173,-0.007412786662983173,-0.007412786662983172,-0.007412786662983173,-0.007412786662983173,0.006412786662983173,-0.007412786662983173,-0.007412786662983173
2016-03-21,0.015104379509758572,0.01523521132243233,0.01523521132243233,-0.01523521132243233,0.01523521132243233,0.01523521132243233,0.01523521132243233,0.01523521132243233,0.01523521132243233,-0.01523521132243233,0.01523521132243233,0.01523521132243233
2016-03-22,-0.0014587210617812438,-0.0014713562793070567,-0.0014713562793070567,0.0014713562793070567,-0.0014713562793070567,-0.0014713562793070567,-0.0014713562793070567,-0.0014713562793070567,-0.0014713562793070567,-0.0024713562793070567,-0.0014713562793070567,-0.0014713562793070567
2016-03-23,-0.005988647458600265,-0.006040520201996746,-0.006040520201996746,0.006040520201996746,-0.006040520201996746,-0.006040520201996746,-0.006040520201996746,-0.006040520201996746,-0.0005,-0.006040520201996746,-0.006040520201996746,-0.006040520201996746
2016-03-24,0.007935654509737109,0.008004391928814192,0.008004391928814192,-0.008004391928814192,0.008004391928814192,0.008004391928814192,0.00800439192881419,0.008004391928814192,0.007504391928814191,-0.009004391928814193,0.008004391928814192,0.008004391928814192
