date,6.5.volatility_targeting,4.6.multi_asset_trend,3.13.three_moving_averages,3.14.support_resistance,3.15.channel,4.1.2.dual_momentum,10.4.trend_following,3.12.two_moving_averages,3.11.single_moving_average,3.20.alpha_combo,3.17.single_stock_knn,__benchmark__
2016-03-11,0.0031265415602799917,0.0,0.010807091998520313,0.0,0.0,0.0,0.010807091998520313,0.010807091998520313,0.010807091998520313,-0.011807091998520314,0.010807091998520313,0.010807091998520313
2016-03-14,0.01066013645373569,0.036367487272411736,0.036867487272411736,0.036367487272411736,0.0,0.036367487272411736,0.036867487272411736,0.036867487272411736,0.036867487272411736,0.035867487272411736,-0.03786748727241174,0.036867487272411736
2016-03-15,0.0042457090526392145,0.014826854254383681,0.014826854254383681,0.014826854254383681,0.0,0.014826854254383681,0.014826854254383681,0.014826854254383681,0.014826854254383681,0.014826854254383681,-0.0005,0.014826854254383681
2016-03-16,0.004770430279021081,0.01644223390939903,0.01644223390939903,0.01644223390939903,0.0,0.01644223390939903,0.01644223390939903,0.01644223390939903,0.01644223390939903,0.01644223390939903,0.01594223390939903,0.01644223390939903
2016-03-17,0.005810566998729363,0.02005139734476491,0.02005139734476491,0.02005139734476491,0.0,0.02005139734476491,0.02005139734476491,0.02005139734476491,0.02005139734476491,0.02005139734476491,0.02005139734476491,0.02005139734476491
2016-03-18,0.008125562471529617,0.028094340456043643,0.028094340456043643,0.028094340456043643,0.0,0.028094340456043643,0.028094340456043643,0.028094340456043643,0.028094340456043643,0.028094340456043643,-0.0005,0.028094340456043643
2016-03-21,0.007085737870691934,0.023975234953553137,0.023975234953553137,0.023975234953553137,0.0,0.023975234953553137,0.023975234953553137,0.023975234953553137,0.023975234953553137,-0.024975234953553138,0.0,0.023975234953553137
2016-03-22,-0.0050420300328823785,-0.01711979903690175,-0.01711979903690175,-0.01711979903690175,0.0,-0.01711979903690175,-0.01711979903690175,-0.01711979903690175,-0.01711979903690175,0.01711979903690175,0.0,-0.01711979903690175
2016-03-23,-0.01464239278618767,-0.04977800018235601,-0.04977800018235601,-0.04977800018235601,0.0,-0.04977800018235601,-0.04977800018235601,-0.04977800018235601,-0.04977800018235601,0.04977800018235601,-0.05027800018235601,-0.04977800018235601
2016-03-24,0.006703494297565353,0.0232275906570083,0.0232275906570083,-0.0005,0.0,0.0232275906570083,0.0232275906570083,0.0232275906570083,0.0232275906570083,-0.0232275906570083,0.0232275906570083,0.0232275906570083
2016-03-28,0.0031717969178207206,0.011020873910291051,0.011020873910291051,0.0,0.0,0.011020873910291051,0.011020873910291051,0.011020873910291051,0.011020873910291051,0.01002087391029105,0.011020873910291051,0.011020873910291051
2016-03-29,-0.00016249884305745532,-0.0005646003647661324,-0.0005646003647661324,-0.0010646003647661324,0.0,-0.0005646003647661324,-0.0005646003647661324,-0.0005646003647661324,-0.0005646003647661324,-0.0004353996352338676,-0.0005646003647661324,-0.0005646003647661324
2016-03-30,-0.004049476416589343,-0.014078972960765879,-0.014078972960765879,-0.014078972960765879,0.0,-0.014078972960765879,-0.014078972960765879,-0.014078972960765879,-0.014078972960765879,0.014078972960765879,-0.014078972960765879,-0.014078972960765879
2016-03-31,0.0036465298239259664,0.012693337980441253,0.012693337980441255,0.012693337980441255,0.0,0.012693337980441255,0.012693337980441255,0.012693337980441255,0.012693337980441255,-0.012693337980441255,0.012693337980441255,0.012693337980441255
2016-04-01,0.009859487903263905,0.03403399570678455,0.03403399570678456,0.03403399570678456,0.0,0.03403399570678456,0.03403399570678456,0.03403399570678456,0.03403399570678456,-0.03403399570678456,-0.0005,0.03403399570678456
2016-04-04,0.011364901721244018,0.039563979070301736,0.039563979070301736,0.039563979070301736,0.0,0.039563979070301736,0.039563979070301736,0.039563979070301736,0.039563979070301736,-0.039563979070301736,-0.040063979070301736,0.039563979070301736
2016-04-05,0.009756825968622995,0.03433343457363125,0.03433343457363125,0.03433343457363125,0.0,0.03433343457363125,0.03433343457363125,0.03433343457363125,0.03433343457363125,-0.03433343457363125,-0.03433343457363125,0.03433343457363125
2016-04-06,0.011401996278026494,0.038947853163352475,0.038947853163352475,0.038947853163352475,0.0,0.038947853163352475,0.038947853163352475,0.038947853163352475,0.038947853163352475,-0.038947853163352475,-0.038947853163352475,0.038947853163352475
2016-04-07,-0.008982179589374075,-0.030969800698537053,-0.030969800698537053,-0.030969800698537053,0.0,-0.030969800698537053,-0.030969800698537053,-0.030969800698537053,-0.030969800698537053,0.030969800698537053,0.030969800698537053,-0.030969800698537053
2016-04-08,-0.008000447277584604,-0.02772166475041915,-0.02772166475041915,-0.0005,0.0,-0.02772166475041915,-0.02772166475041915,-0.02772166475041915,-0.02772166475041915,0.02772166475041915,-0.0005,-0.02772166475041915
2016-04-11,-0.00017297007921822133,-0.0005998457768249255,-0.0005998457768249255,0.0,0.0,-0.0005998457768249255,-0.0005998457768249255,-0.0005998457768249255,-0.0005998457768249255,0.0005998457768249255,-0.0010998457768249255,-0.0005998457768249255
2016-04-12,-0.0024252517618927067,-0.008402652353309281,-0.008402652353309281,0.0,-0.008902652353309282,-0.008402652353309281,-0.008402652353309281,-0.008402652353309281,-0.008402652353309281,-0.009402652353309282,-0.008402652353309281,-0.008402652353309281
2016-04-13,0.007824153026270105,0.0270760454618868,0.0270760454618868,0.0,0.0270760454618868,0.0270760454618868,0.0270760454618868,0.0270760454618868,0.0270760454618868,0.0270760454618868,0.0270760454618868,0.0270760454618868
2016-04-14,-0.0030202514691842946,-0.010489893292484176,-0.010489893292484176,-0.010989893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176,-0.010489893292484176
2016-04-15,0.003079423300301508,0.010521694235412493,0.010521694235412493,-0.0005,0.010521694235412493,0.010521694235412493,0.010521694235412493,0.010521694235412493,0.010521694235412493,0.010521694235412493,0.010521694235412493,0.010521694235412493
