date,4.6.multi_asset_trend,4.1.2.dual_momentum,6.5.volatility_targeting,3.11.single_moving_average,10.4.trend_following,3.20.alpha_combo,3.14.support_resistance,3.15.channel,3.12.two_moving_averages,3.13.three_moving_averages,3.17.single_stock_knn,__benchmark__
2016-03-11,0.0,0.0,0.003991990734040172,0.011955318298711493,0.011955318298711493,0.011955318298711493,0.0,0.011955318298711493,0.011955318298711493,0.011955318298711493,0.011955318298711493,0.011955318298711493
2016-03-14,0.0,0.0,-0.0012380368995824663,-0.0037077052994756166,-0.0037077052994756166,0.0027077052994756165,-0.004207705299475617,-0.0037077052994756166,-0.0037077052994756166,-0.0037077052994756166,-0.0037077052994756166,-0.0037077052994756166
2016-03-15,0.0,0.0,0.00048353525305529156,0.0013533282289954762,0.001353328228995476,0.0003533282289954762,0.0013533282289954762,0.0013533282289954762,0.0013533282289954762,0.0013533282289954762,0.0013533282289954762,0.0013533282289954762
2016-03-16,0.0,0.0,-0.002531936592843754,-0.00472960912277709,-0.00472960912277709,0.0037296091227770898,-0.00472960912277709,-0.00472960912277709,-0.00472960912277709,-0.00472960912277709,0.0037296091227770898,-0.00472960912277709
2016-03-17,0.0,0.0,-0.001499348336245717,-0.00288544458448714,-0.00288544458448714,-0.00388544458448714,-0.0005,-0.00288544458448714,-0.00288544458448714,-0.00288544458448714,0.00288544458448714,-0.00288544458448714
2016-03-18,0.0,0.0,0.015301266254540152,0.02944676349227171,-0.03044676349227171,0.02944676349227171,0.0,0.02944676349227171,0.02944676349227171,0.02944676349227171,0.02844676349227171,0.02944676349227171
2016-03-21,0.0,0.0,-0.00017179829694012635,-0.0003306199457100423,-0.0013306199457100423,-0.0006693800542899577,-0.0008306199457100423,-0.0003306199457100423,-0.0003306199457100423,-0.0003306199457100423,-0.0003306199457100423,-0.0003306199457100423
2016-03-22,0.0,0.0,-0.0018907525798983903,-0.003638688662524925,-0.003638688662524925,0.003638688662524925,-0.003638688662524925,-0.003638688662524925,-0.003638688662524925,-0.003638688662524925,-0.003638688662524925,-0.003638688662524925
2016-03-23,0.0,0.0,-0.0025878925971235312,-0.004980310778415875,-0.004980310778415875,-0.005980310778415875,-0.004980310778415875,-0.004980310778415875,-0.004980310778415875,-0.004980310778415875,-0.004980310778415875,-0.004980310778415875
2016-03-24,0.0,0.0,-0.004666365682559815,-0.00767444682304963,-0.00767444682304963,-0.00767444682304963,-0.0005,-0.00767444682304963,-0.00767444682304963,-0.00767444682304963,-0.00767444682304963,-0.00767444682304963
2016-03-28,0.0,0.0,-0.000810468931836248,-0.001344883422266796,-0.001344883422266796,-0.001344883422266796,0.0,-0.001344883422266796,-0.001344883422266796,-0.001344883422266796,-0.001344883422266796,-0.001344883422266796
2016-03-29,0.0,0.0,-0.003753760606444732,-0.006228949947936657,-0.006228949947936657,0.005228949947936657,0.0,-0.006228949947936657,-0.006228949947936657,-0.006228949947936657,0.005228949947936657,-0.006228949947936657
2016-03-30,0.0,0.0,0.006942170001975822,0.011519762181459559,0.011519762181459559,0.010519762181459558,0.0,0.011519762181459559,0.011519762181459559,0.011519762181459559,-0.011519762181459559,0.011519762181459559
2016-03-31,0.0,0.0,-0.004945443933628811,-0.00820641643476483,-0.00820641643476483,0.007206416434764829,-0.00870641643476483,-0.00820641643476483,-0.00820641643476483,-0.00820641643476483,-0.00920641643476483,-0.00820641643476483
2016-04-01,0.0,0.0,0.010213095011636787,0.010976064470387792,0.01097606447038779,0.009976064470387791,-0.0005,0.010976064470387792,0.010976064470387792,0.010976064470387792,-0.011976064470387793,0.010976064470387792
2016-04-04,0.0,0.0,-0.0036615230396817586,-0.0038699763330852788,-0.0038699763330852788,0.0028699763330852788,-0.004369976333085279,-0.0038699763330852788,-0.0038699763330852788,-0.0038699763330852788,-0.004869976333085279,-0.0038699763330852788
2016-04-05,0.0,0.0,-0.013424898636285662,-0.01418918833322702,0.01318918833322702,0.01418918833322702,-0.01418918833322702,-0.01418918833322702,-0.01418918833322702,-0.01418918833322702,0.01318918833322702,-0.01418918833322702
2016-04-06,0.0,0.0,0.007295359577800457,0.007710689951001548,-0.007710689951001548,0.006710689951001548,-0.0005,0.007710689951001548,0.007710689951001548,0.007710689951001548,-0.007710689951001548,0.007710689951001548
2016-04-07,0.0,0.0,-0.02397129638948881,-0.02533600053729479,0.025336000537294786,0.02433600053729479,-0.02583600053729479,-0.02533600053729479,-0.02533600053729479,-0.02533600053729479,0.02533600053729479,-0.02533600053729479
2016-04-08,0.0,0.0,0.006091157672988735,-0.0005,-0.007327679296952994,0.0063276792969529936,-0.0005,-0.0005,0.007327679296952994,-0.0005,-0.007327679296952994,0.007327679296952994
2016-04-11,0.0,0.0,0.006680632947087646,0.0,-0.007966492276437087,-0.008966492276437088,0.0,0.0,0.007966492276437087,0.0,-0.007966492276437087,0.007966492276437087
