date,4.1.2.dual_momentum,6.5.volatility_targeting,4.6.multi_asset_trend,3.11.single_moving_average,10.4.trend_following,3.14.support_resistance,3.12.two_moving_averages,3.20.alpha_combo,3.15.channel,3.13.three_moving_averages,3.17.single_stock_knn,__benchmark__
2016-03-11,0.016545354865139472,0.006321172824836665,0.016545354865139472,0.016545354865139472,0.016545354865139472,0.0,0.016545354865139472,0.016545354865139472,0.016545354865139472,0.0,0.0,0.016545354865139472
2016-03-14,0.0024831257378883365,0.0009486811895502932,0.0024831257378883365,0.0024831257378883365,0.0024831257378883365,0.0019831257378883364,0.0024831257378883365,0.0024831257378883365,0.0024831257378883365,0.0,0.0,0.0024831257378883365
2016-03-15,-0.004953572848470755,-0.00189251849421352,-0.004953572848470755,-0.004953572848470755,-0.004953572848470755,-0.004953572848470755,-0.004953572848470755,-0.004953572848470755,-0.004953572848470755,0.0,-0.005453572848470756,-0.004953572848470755
2016-03-16,0.029869473171339145,0.011411668328775083,0.029869473171339145,0.029869473171339145,0.029869473171339145,0.029869473171339145,0.029869473171339145,0.029869473171339145,0.029869473171339145,0.0,-0.0005,0.029869473171339145
2016-03-17,-0.008459547662494793,-0.003231980409633955,-0.008459547662494793,-0.008459547662494793,-0.008459547662494791,-0.008459547662494793,-0.008459547662494793,-0.008459547662494793,-0.008459547662494793,-0.008959547662494793,-0.008959547662494793,-0.008459547662494793
2016-03-18,0.030165066159487663,0.011524599987184752,0.030165066159487663,0.030165066159487663,0.03016506615948766,0.030165066159487663,0.030165066159487663,0.030165066159487663,0.030165066159487663,0.030165066159487663,0.030165066159487663,0.030165066159487663
2016-03-21,0.0029575581288039388,0.0011299386579529034,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388,0.0029575581288039388
2016-03-22,-0.0017695464760786317,-0.0006760573700623036,-0.0017695464760786315,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317,-0.0017695464760786317
2016-03-23,0.01713466653771456,0.006546320061653534,0.01713466653771456,0.01713466653771456,0.01713466653771456,0.01713466653771456,0.01713466653771456,0.01713466653771456,0.01713466653771456,0.01713466653771456,-0.0005,0.01713466653771456
2016-03-24,0.001451548155191551,0.0005545657271982168,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.001451548155191551,0.000951548155191551,0.001451548155191551
2016-03-28,0.010150846265591928,0.00387814308524434,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928,0.010150846265591928
2016-03-29,0.01607852515548891,0.006142819970000835,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891,0.01607852515548891
2016-03-30,0.010454917906319139,0.003994314023119968,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139,0.010454917906319139
2016-03-31,-0.0036354878750153308,-0.0013889425369164716,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308,-0.0036354878750153308
2016-04-01,0.014594190497438486,0.005575728119755864,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486,0.014594190497438486
2016-04-04,-0.009681778271437902,-0.003698935091108514,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902,-0.009681778271437902
2016-04-05,-0.0013962731640329018,-0.0005334478500143723,-0.0013962731640329018,-0.0013962731640329018,-0.0013962731640329018,-0.0005,-0.0013962731640329018,-0.0013962731640329018,-0.0013962731640329018,-0.0013962731640329018,-0.0013962731640329018,-0.0013962731640329018
2016-04-06,0.0013982254687321394,0.000534193730384495,0.0013982254687321394,0.0013982254687321394,0.0013982254687321394,0.0,0.0013982254687321394,0.0013982254687321394,0.0013982254687321394,0.0013982254687321394,0.0013982254687321394,0.0013982254687321394
2016-04-07,-0.010335049724783163,-0.003948518239477741,-0.010335049724783163,-0.010335049724783163,-0.010335049724783163,0.0,-0.010335049724783163,-0.010335049724783163,-0.010335049724783163,-0.010335049724783163,-0.010335049724783163,-0.010335049724783163
2016-04-08,0.006491540274471852,0.0024801008082807486,0.006491540274471852,0.006491540274471852,0.006491540274471852,0.0,0.006491540274471852,0.006491540274471852,0.006491540274471852,0.006491540274471852,0.006491540274471852,0.006491540274471852
2016-04-11,0.006169676458898987,0.0023571323484996784,0.006169676458898986,0.006169676458898987,0.006169676458898987,0.005669676458898987,0.006169676458898987,0.006169676458898987,0.006169676458898987,0.006169676458898987,0.006169676458898987,0.006169676458898987
2016-04-12,-0.0011150167799426347,-0.0004259935085140196,-0.0011150167799426345,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347,-0.0011150167799426347
2016-04-13,0.02511173326656979,0.0095939680474088,0.02511173326656979,0.02511173326656979,0.02511173326656979,-0.0005,0.02511173326656979,0.02511173326656979,0.02511173326656979,0.02511173326656979,0.02511173326656979,0.02511173326656979
2016-04-14,0.002721628614070104,0.0010398015016774194,0.002721628614070104,0.002721628614070104,0.002721628614070104,0.002221628614070104,0.002721628614070104,0.002721628614070104,0.002721628614070104,0.002721628614070104,-0.0005,0.002721628614070104
2016-04-15,0.007872028080951887,0.0030075178433620576,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007872028080951887,0.007372028080951887,0.007872028080951887
2016-04-18,-0.004309195070039795,-0.0016463331850952152,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795,-0.004309195070039795
2016-04-19,-0.01785231775110596,-0.007915712537088757,-0.017852317751105958,-0.01785231775110596,-0.017852317751105958,-0.01785231775110596,-0.01785231775110596,-0.01785231775110596,-0.01785231775110596,-0.01785231775110596,-0.0005,-0.01785231775110596
2016-04-20,0.003855739111882306,0.0017031890873771384,0.003855739111882306,0.003855739111882306,0.003855739111882306,-0.0005,0.003855739111882306,0.003855739111882306,0.003855739111882306,0.003855739111882306,0.0,0.003855739111882306
2016-04-21,-0.0010975803943197304,-0.0004848323229036777,-0.0010975803943197304,-0.0010975803943197304,-0.0010975803943197304,0.0,-0.0010975803943197304,-0.0010975803943197304,-0.0010975803943197304,-0.0010975803943197304,-0.0015975803943197304,-0.0010975803943197304
2016-04-22,-0.0038450829007291576,-0.001698481937328294,-0.0038450829007291576,-0.0038450829007291576,-0.0038450829007291576,0.0,-0.0038450829007291576,-0.0038450829007291576,-0.0038450829007291576,-0.0038450829007291576,-0.0038450829007291576,-0.0038450829007291576
2016-04-25,0.004962952264348619,0.0021922764721718146,0.004962952264348618,0.004962952264348619,0.004962952264348618,0.0,0.004962952264348619,0.004962952264348619,0.004962952264348619,0.004962952264348619,-0.005962952264348619,0.004962952264348619
2016-04-26,0.0008231852957398811,0.000363624242177795,0.000823185295739881,0.0008231852957398811,0.000823185295739881,0.0003231852957398811,0.0008231852957398811,0.0008231852957398811,0.0008231852957398811,0.0008231852957398811,-0.0005,0.0008231852957398811
2016-04-27,0.022751917782589004,0.010050165988873134,0.022751917782589,0.022751917782589004,0.022751917782589004,0.022751917782589004,0.022751917782589004,0.022751917782589004,0.022751917782589004,0.022751917782589004,-0.023251917782589004,0.022751917782589004
