date,6.5.volatility_targeting,4.6.multi_asset_trend,4.1.2.dual_momentum,10.4.trend_following,3.15.channel,3.11.single_moving_average,3.12.two_moving_averages,3.20.alpha_combo,3.17.single_stock_knn,3.13.three_moving_averages,3.14.support_resistance,__benchmark__
2016-03-11,0.011396393846011287,0.019096438151669115,0.019096438151669115,0.019096438151669115,0.019096438151669115,0.019096438151669115,0.019096438151669115,0.01909643815166911,0.019096438151669115,0.019096438151669115,0.0,0.019096438151669115
2016-03-14,0.0011243863041787725,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0018840848961927392,0.0013840848961927392,0.0018840848961927392
2016-03-15,0.004714274637048174,0.00789950358445024,0.00789950358445024,0.00789950358445024,0.00789950358445024,0.00789950358445024,0.00789950358445024,0.00789950358445024,-0.008899503584450241,0.00789950358445024,0.00789950358445024,0.00789950358445024
2016-03-16,0.00846328970983107,0.01418156398306758,0.01418156398306758,0.01418156398306758,0.01418156398306758,0.01418156398306758,0.01418156398306758,0.01418156398306758,0.013181563983067579,0.01418156398306758,0.01418156398306758,0.01418156398306758
2016-03-17,0.0034038907264772114,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118,0.005703750643539118
2016-03-18,-0.012773882935626271,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908,-0.021404636302756908
2016-03-21,0.004127659332846501,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,0.00691653800543679,-0.0005,0.00691653800543679
2016-03-22,0.002327060891803402,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0038993540409315575,0.0,0.0038993540409315575
2016-03-23,-0.001103591263803883,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0018492395575929743,-0.0023492395575929743,-0.0018492395575929743
2016-03-24,0.0026536704401684697,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104,0.0044466393598117104
2016-03-28,-0.00737587687049589,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024,-0.012359433902949024
2016-03-29,0.013041487333427316,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,0.02185304927450682,-0.0005,0.02185304927450682
2016-03-30,0.0037086963663740193,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.006214500107730947,0.0057145001077309465,0.006214500107730947
2016-03-31,0.001951478781986848,0.003270007545198128,0.003270007545198128,0.003270007545198128,-0.0005,0.003270007545198128,0.003270007545198128,0.003270007545198128,0.003270007545198128,0.003270007545198128,0.003270007545198128,0.003270007545198128
2016-04-01,0.004477241811546795,0.0061558308574656264,0.006155830857465627,0.006155830857465627,0.0,0.006155830857465627,0.006155830857465627,0.006155830857465627,0.006155830857465627,0.006155830857465627,0.006155830857465627,0.006155830857465627
2016-04-04,-0.0018615671485542897,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996,0.0,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996,-0.0025195223028326996
2016-04-05,-0.011596701466114039,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043,0.0,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043,-0.01569545745683043
2016-04-06,0.007583759454892928,0.01026417505313204,0.01026417505313204,0.01026417505313204,0.0,0.01026417505313204,0.01026417505313204,0.01026417505313204,0.01026417505313204,0.01026417505313204,-0.0005,0.01026417505313204
2016-04-07,-0.00884706387297411,-0.011973983726482616,-0.011973983726482618,-0.011973983726482618,0.0,-0.011973983726482618,-0.011973983726482618,-0.011973983726482618,-0.011973983726482618,-0.011973983726482618,-0.012473983726482618,-0.011973983726482618
2016-04-08,-0.0005427929419540172,-0.0007346385136498547,-0.0007346385136498546,-0.0007346385136498546,0.0,-0.0007346385136498546,-0.0007346385136498546,-0.0007346385136498546,-0.0005,-0.0007346385136498546,-0.0005,-0.0007346385136498546
2016-04-11,-0.00170958735665736,-0.0020210812524736887,-0.0020210812524736887,-0.0020210812524736887,0.0,-0.0020210812524736887,-0.0020210812524736887,-0.0020210812524736887,0.0015210812524736887,-0.0020210812524736887,0.0,-0.0020210812524736887
2016-04-12,0.005162680171358157,0.006260431146438483,0.006260431146438483,0.006260431146438483,0.0,-0.0005,0.006260431146438483,0.006260431146438483,-0.006260431146438483,0.006260431146438483,0.0,0.006260431146438483
2016-04-13,0.011864642458404073,0.01280872734340055,0.01280872734340055,0.01280872734340055,0.0,0.01230872734340055,0.01280872734340055,0.012808727343400548,-0.01280872734340055,-0.0005,0.01230872734340055,0.01280872734340055
2016-04-14,0.00016778577161988633,0.00018033289310515066,0.00018033289310515066,0.00018033289310515066,0.0,0.00018033289310515066,0.00018033289310515066,0.0001803328931051506,-0.00018033289310515066,-0.00031966710689484935,0.00018033289310515066,0.00018033289310515066
2016-04-15,0.004874347693400869,0.005238854362113354,0.005238854362113354,0.005238854362113354,0.0,0.005238854362113354,0.005238854362113354,0.0052388543621133534,-0.005238854362113354,0.005238854362113354,0.005238854362113354,0.005238854362113354
2016-04-18,0.013542344557566517,0.014555049274531662,0.014555049274531662,0.014555049274531662,0.0,0.014555049274531662,0.014555049274531662,0.01455504927453166,0.01355504927453166,0.014555049274531662,0.014555049274531662,0.014555049274531662
2016-04-19,-0.0011536337124373084,-0.001239903139217069,-0.001239903139217069,-0.001239903139217069,0.0,-0.001239903139217069,-0.001239903139217069,-0.0012399031392170687,-0.001239903139217069,-0.001239903139217069,-0.001239903139217069,-0.001239903139217069
2016-04-20,-0.014969695491978605,-0.014186578866639208,-0.01418657886663921,-0.01418657886663921,0.0,-0.01418657886663921,-0.01418657886663921,-0.014186578866639208,-0.01418657886663921,-0.01418657886663921,-0.01418657886663921,-0.01418657886663921
2016-04-21,0.0035916971238646694,0.0034175615083158473,0.0034175615083158473,0.0034175615083158473,0.0,0.0034175615083158473,0.0034175615083158473,0.0034175615083158473,-0.004417561508315847,0.0034175615083158473,-0.0005,0.0034175615083158473
2016-04-22,-0.0753638595516054,-0.07171000689628104,-0.07171000689628104,-0.07171000689628104,0.0,-0.07171000689628104,-0.07171000689628104,-0.07171000689628104,0.07171000689628104,-0.07171000689628104,0.0,-0.07171000689628104
2016-04-25,0.002952293873344344,0.006373216199743625,0.006373216199743625,0.006373216199743625,0.0,-0.0005,0.006373216199743625,0.006373216199743625,-0.0005,-0.0005,0.0,0.006373216199743625
2016-04-26,-0.006505712328240049,-0.012857423414683098,-0.0128574234146831,-0.0128574234146831,0.0,0.0,0.0118574234146831,-0.0128574234146831,-0.0133574234146831,0.0,-0.0133574234146831,-0.0128574234146831
2016-04-27,-0.004918440718405218,-0.009720453605371993,-0.009720453605371993,-0.009720453605371993,0.0,0.0,0.009720453605371993,-0.009720453605371993,-0.009720453605371993,0.0,-0.0005,-0.009720453605371993
2016-04-28,-0.010330368356836839,-0.0204161993786508,-0.0204161993786508,-0.0204161993786508,0.0,0.0,0.0204161993786508,-0.0204161993786508,-0.0204161993786508,0.0199161993786508,0.0,-0.0204161993786508
2016-04-29,-0.00030412225357785044,-0.0006010454177484137,-0.0005,-0.0006010454177484137,-0.0011010454177484137,0.0,0.0006010454177484137,-0.0006010454177484137,-0.0006010454177484137,0.0006010454177484137,0.0,-0.0006010454177484137
2016-05-02,0.007508166575490885,0.014838602117406063,0.0,0.014838602117406063,0.014838602117406063,0.0,-0.014838602117406063,0.014838602117406063,-0.0005,-0.014838602117406063,0.0,0.014838602117406063
2016-05-03,-0.008298256674260993,-0.016400079542643553,-0.016900079542643553,-0.016400079542643553,-0.016400079542643553,0.0,0.016400079542643553,-0.016400079542643553,-0.016900079542643553,0.016400079542643553,-0.016900079542643553,-0.016400079542643553
2016-05-04,0.0009148758246994634,0.0018080949873786611,-0.0005,0.0018080949873786611,0.0018080949873786611,0.0,-0.0018080949873786611,0.0018080949873786611,0.0018080949873786611,-0.0018080949873786611,-0.0005,0.0018080949873786611
2016-05-05,0.000710192581876846,0.0014035737011488525,0.0,0.0014035737011488525,0.0014035737011488525,0.0,-0.0014035737011488525,0.0014035737011488525,0.0014035737011488525,-0.0014035737011488525,0.0,0.0014035737011488525
2016-05-06,0.00455937039711179,0.009010812766124364,0.0,0.009010812766124365,0.009010812766124365,0.0,-0.009010812766124365,-0.010010812766124366,0.009010812766124365,-0.009010812766124365,0.008510812766124365,0.009010812766124365
2016-05-09,-0.003213285219586856,-0.006350506529628208,-0.006850506529628209,-0.006350506529628208,-0.006350506529628208,0.0,0.006350506529628208,-0.007350506529628208,-0.006350506529628208,0.006350506529628208,-0.006350506529628208,-0.006350506529628208
2016-05-10,0.00960042032114501,0.018973582414960832,-0.0005,0.018973582414960832,0.018973582414960832,0.0,-0.018973582414960832,0.018973582414960832,0.018973582414960832,-0.018973582414960832,-0.0005,0.018973582414960832
2016-05-11,0.00029757556600873365,-0.0005,8.810701380540563e-05,-0.0015881070138054057,0.0005881070138054056,0.0,-0.0005881070138054056,-0.0015881070138054057,0.0005881070138054056,-0.0005881070138054056,8.810701380540563e-05,0.0005881070138054056
2016-05-12,0.004559122387284802,0.0,0.009010322617283517,-0.009010322617283517,0.009010322617283517,0.0,-0.009010322617283517,-0.009010322617283515,0.009010322617283517,-0.009010322617283517,0.009010322617283517,0.009010322617283517
2016-05-13,-0.0042236651391604355,0.0,-0.00834734896289413,0.00834734896289413,-0.00834734896289413,0.0,0.00834734896289413,0.008347348962894128,-0.00834734896289413,0.00834734896289413,-0.00834734896289413,-0.00834734896289413
2016-05-16,0.0074291399174846685,0.0,0.014682419496385046,-0.014682419496385046,0.014682419496385046,0.0,-0.014682419496385046,-0.014682419496385046,0.014682419496385046,-0.014682419496385046,-0.0005,0.014682419496385046
2016-05-17,-0.009437432720376244,0.0,-0.01865146540629281,0.01865146540629281,-0.01865146540629281,0.0,0.01865146540629281,0.018651465406292807,-0.01865146540629281,0.01865146540629281,-0.01915146540629281,-0.01865146540629281
2016-05-18,0.003005277107134615,0.0,0.005939414209440885,-0.005939414209440885,0.005939414209440885,0.0,-0.005939414209440885,-0.005939414209440885,0.005939414209440885,-0.005939414209440885,-0.0005,0.005939414209440885
2016-05-19,-0.004879794931879591,0.0,-0.009644076843615013,0.009644076843615013,-0.009644076843615013,0.0,0.009644076843615013,0.009644076843615013,-0.009644076843615013,-0.0005,0.0,-0.009644076843615013
2016-05-20,0.0030167993485453845,0.0,0.005962185941271292,-0.005962185941271292,0.005962185941271292,0.0,-0.005962185941271292,-0.005962185941271292,0.005962185941271292,0.0,0.0,0.005962185941271292
2016-05-23,-0.005897548982075096,0.0,-0.0116554929799495,0.0116554929799495,-0.0116554929799495,0.0,0.0116554929799495,0.011655492979949498,-0.0116554929799495,0.0,-0.0121554929799495,-0.0116554929799495
2016-05-24,0.025318324331462163,0.0,-0.0005,-0.031181185064578898,0.031181185064578898,0.0,-0.031181185064578898,0.030181185064578897,0.031181185064578898,0.0,-0.0005,0.031181185064578898
2016-05-25,0.007138091447399399,0.0,0.009773582631453281,-0.010273582631453282,0.010273582631453282,0.0,-0.010273582631453282,-0.01127358263145328,0.010273582631453282,0.0,0.009773582631453281,0.010273582631453282
2016-05-26,-0.0030912907635257995,0.0,-0.004413166247314915,0.004413166247314915,-0.004413166247314915,0.0,0.004413166247314915,0.004413166247314915,-0.004413166247314915,0.0,-0.004413166247314915,-0.004413166247314915
2016-05-27,0.005804663315409608,0.0,0.008286811620196843,-0.008286811620196843,0.008286811620196843,0.0,-0.008286811620196843,-0.008286811620196842,0.008286811620196843,0.007786811620196843,-0.0005,0.008286811620196843
2016-05-31,0.009103924637650258,0.0,0.012996879298132535,-0.012996879298132535,0.012996879298132535,0.0,0.011996879298132535,-0.012996879298132535,0.012996879298132535,0.012996879298132535,0.012496879298132535,0.012996879298132535
