date,6.5.volatility_targeting,4.1.2.dual_momentum,4.6.multi_asset_trend,3.15.channel,3.17.single_stock_knn,3.14.support_resistance,3.11.single_moving_average,10.4.trend_following,3.13.three_moving_averages,3.12.two_moving_averages,3.20.alpha_combo,__benchmark__
2016-03-11,0.009310139940224373,0.0,0.018607883796187774,0.0,0.018607883796187774,0.018607883796187774,0.0,0.018607883796187774,0.0,0.018607883796187774,-0.019607883796187775,0.018607883796187774
2016-03-14,0.0032936584042467525,0.0,0.006601065203391654,0.0,0.006601065203391654,0.006601065203391654,0.0,0.006601065203391654,0.0,0.006601065203391654,-0.006601065203391654,0.006601065203391654
2016-03-15,0.0032654856265028963,0.0,0.006365834492694233,0.0,0.006365834492694233,0.006365834492694233,0.005865834492694233,0.006365834492694233,0.0,0.006365834492694233,-0.006365834492694233,0.006365834492694233
2016-03-16,-0.00245041900154142,0.0,-0.004765892473030164,0.0,-0.004765892473030164,-0.004765892473030164,-0.004765892473030164,-0.004765892473030164,0.0,-0.004765892473030164,0.004765892473030164,-0.004765892473030164
2016-03-17,-0.01367670893068427,0.0,-0.025824053883372833,0.0,-0.025824053883372833,-0.0005,-0.025824053883372833,-0.025824053883372833,0.0,-0.025824053883372833,0.02582405388337283,-0.025824053883372833
2016-03-18,-0.006759166136262885,0.0,-0.013156014189604548,0.0,-0.013156014189604548,0.0,-0.0005,-0.013156014189604548,0.0,-0.013156014189604548,0.013156014189604546,-0.013156014189604548
2016-03-21,0.001781432964551677,0.0,0.003441505326742922,0.0,0.003441505326742922,0.0,0.0,0.003441505326742922,0.0,0.003441505326742922,-0.003441505326742922,0.003441505326742922
2016-03-22,0.006207453707554255,0.0,0.011733303365531578,0.0,-0.012733303365531579,0.011233303365531577,0.0,0.011733303365531578,-0.012233303365531578,0.011733303365531578,-0.011733303365531578,0.011733303365531578
2016-03-23,0.010278339798764136,0.0,0.016325308843260222,0.0,0.015325308843260221,0.016325308843260222,0.015825308843260222,0.016325308843260222,-0.016325308843260222,0.016325308843260222,-0.016325308843260222,0.016325308843260222
2016-03-24,0.01466068764047951,0.0,0.023383545256862037,0.0,0.023383545256862037,0.023383545256862037,0.023383545256862037,0.023383545256862037,-0.023383545256862037,0.023383545256862037,-0.023383545256862037,0.023383545256862037
2016-03-28,-0.003173094150323621,0.0,-0.005283449127727046,0.0,-0.005283449127727047,-0.005283449127727047,-0.005283449127727047,-0.005283449127727046,-0.0005,-0.005283449127727047,0.005283449127727047,-0.005283449127727047
2016-03-29,0.014337302774445691,0.0,0.024126133219094733,0.0,0.024126133219094736,0.024126133219094736,0.024126133219094736,0.024126133219094736,0.0,0.024126133219094736,-0.024126133219094736,0.024126133219094736
2016-03-30,0.0046199708457806314,0.0,0.008133194378816988,0.0,0.008133194378816988,0.008133194378816988,0.008133194378816988,0.008133194378816988,0.0,0.008133194378816988,-0.008133194378816988,0.008133194378816988
2016-03-31,-0.004828808988349931,0.0,-0.00843510117909696,0.0,-0.00843510117909696,-0.00843510117909696,-0.00843510117909696,-0.00843510117909696,0.0,-0.00843510117909696,0.00843510117909696,-0.00843510117909696
2016-04-01,0.005765476058995627,0.0,0.008186781113585173,0.0,0.008186781113585173,-0.0005,0.008186781113585173,0.008186781113585173,0.0,0.008186781113585173,-0.008186781113585171,0.008186781113585173
2016-04-04,-0.006286051315089778,0.0,-0.008872151103062609,0.0,-0.008872151103062609,-0.00937215110306261,-0.008872151103062609,-0.008872151103062609,0.0,-0.008872151103062609,0.008872151103062609,-0.008872151103062609
2016-04-05,-0.008340568896857343,0.0,-0.011884924360712312,0.0,-0.011884924360712312,-0.0005,-0.011884924360712312,-0.011884924360712312,0.0,-0.011884924360712312,0.01188492436071231,-0.011884924360712312
2016-04-06,0.01870489976409457,0.0,0.0271948990544153,0.0,0.0271948990544153,0.0,0.0271948990544153,0.0271948990544153,0.0,0.0271948990544153,-0.027194899054415297,0.0271948990544153
2016-04-07,-0.012062622874562584,0.0,-0.017688656382376045,0.0,0.016688656382376044,-0.018188656382376045,-0.017688656382376045,-0.017688656382376045,0.0,-0.017688656382376045,0.017688656382376045,-0.017688656382376045
2016-04-08,0.0034739833966860754,0.0,0.005359848498285968,0.0,0.004359848498285968,-0.0005,0.005359848498285968,0.005359848498285968,0.0,0.005359848498285968,-0.0053598484982859676,0.005359848498285968
2016-04-11,0.0014577687803811281,0.0,0.0022367881300682235,0.0,0.0022367881300682235,0.0017367881300682235,0.0022367881300682235,0.0022367881300682235,0.0,0.0022367881300682235,-0.0022367881300682235,0.0022367881300682235
2016-04-12,0.007934535884200289,0.011649125841996566,0.012149125841996566,0.011649125841996566,0.012149125841996566,0.012149125841996566,0.012149125841996566,0.012149125841996566,0.011649125841996566,0.012149125841996566,0.011149125841996566,0.012149125841996566
2016-04-13,0.012881828567538587,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903,0.019314572589733903
2016-04-14,0.006234738329320166,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946,0.009645137346663946
2016-04-15,0.005341446685810409,0.008280304996334698,0.008280304996334698,0.008280304996334698,0.008280304996334698,0.008280304996334698,0.008280304996334698,0.008280304996334696,0.008280304996334698,0.008280304996334698,0.008280304996334698,0.008280304996334698
2016-04-18,0.009814031314144786,0.015114463162838598,0.015114463162838598,0.015114463162838598,-0.0161144631628386,0.015114463162838598,0.015114463162838598,0.015114463162838598,0.015114463162838598,0.015114463162838598,0.015114463162838598,0.015114463162838598
2016-04-19,-0.008573675041070839,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003,-0.012725803630660004,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003,-0.011725803630660003
2016-04-20,0.00594441318433754,0.008106368266093344,0.008106368266093344,0.008106368266093344,0.008106368266093344,-0.0005,0.008106368266093344,0.008106368266093344,0.008106368266093344,0.008106368266093344,0.008106368266093344,0.008106368266093344
2016-04-21,-0.002308622376977626,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889,-0.003643830280532889,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889,-0.003143830280532889
2016-04-22,-0.012123369764260573,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477,-0.016640241877203477
2016-04-25,0.006362279863634555,0.00918613540423352,0.00918613540423352,0.00918613540423352,0.00918613540423352,-0.0005,0.00918613540423352,0.009186135404233518,0.00918613540423352,0.00918613540423352,0.00918613540423352,0.00918613540423352
2016-04-26,-0.010885486131091268,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182,-0.015383411409137182,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182,-0.014883411409137182
2016-04-27,-0.011775130059324384,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047,-0.0005,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047,-0.016713108458223047
2016-04-28,-0.005410441664670311,-0.00753417942126311,-0.0005,-0.00753417942126311,-0.00753417942126311,0.0,-0.00753417942126311,-0.00753417942126311,-0.00753417942126311,-0.00753417942126311,-0.00753417942126311,-0.00753417942126311
2016-04-29,0.06848294004014327,0.09566443185819673,0.0,0.09566443185819673,0.09566443185819673,0.0,0.09566443185819673,0.09566443185819673,0.09566443185819673,0.09566443185819673,0.09566443185819673,0.09566443185819673
2016-05-02,0.014037065594876077,0.03678046234647003,0.03628046234647003,0.03678046234647003,0.03678046234647003,0.03628046234647003,0.03678046234647003,0.03678046234647003,0.03678046234647003,0.03678046234647003,0.03678046234647003,0.03678046234647003
2016-05-03,-0.006818839569554364,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061,-0.0183227069227061
2016-05-04,-0.00023195641924593556,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844,-0.0005,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844,-0.000625743965934844
2016-05-05,-0.006523040485669776,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084,0.0,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084,-0.01760321687769084
2016-05-06,0.008326179129624252,0.022546240090086433,0.022546240090086433,0.022546240090086433,-0.023546240090086434,0.0,0.022546240090086433,0.02254624009008643,0.022546240090086433,0.022546240090086433,0.022546240090086433,0.022546240090086433
2016-05-09,0.003207729663805703,0.008606007269745364,0.008606007269745364,0.008606007269745364,0.007606007269745364,0.008106007269745363,0.008606007269745364,0.008606007269745364,0.008606007269745364,0.008606007269745364,0.008606007269745364,0.008606007269745364
2016-05-10,0.012793201357400908,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093,0.03430674196057093
2016-05-11,0.005244017160821667,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544,0.014450891828668544
2016-05-12,0.002391334746017309,0.006589756930776014,0.006589756930776013,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014,0.006589756930776014
2016-05-13,-0.004068743636048119,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131,-0.0005,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131,-0.011157111565377131
2016-05-16,0.0003732535884971104,0.0010424432376223702,0.0010424432376223702,0.0010424432376223702,0.0,-0.0005,0.0010424432376223702,0.0010424432376223702,0.0010424432376223702,0.0010424432376223702,0.0010424432376223702,0.0010424432376223702
2016-05-17,-0.007792419795571752,-0.021655945513589514,-0.021655945513589514,-0.021655945513589514,-0.022155945513589514,0.0,-0.021655945513589514,-0.021655945513589514,-0.021655945513589514,-0.021655945513589514,-0.021655945513589514,-0.021655945513589514
2016-05-18,0.0010986379885872173,0.003135505889745094,0.003135505889745094,0.003135505889745094,-0.0005,0.0,0.003135505889745094,0.003135505889745094,0.003135505889745094,0.003135505889745094,0.003135505889745094,0.003135505889745094
2016-05-19,0.000543036727822078,0.0015340830839882802,0.0015340830839882802,0.0015340830839882802,0.0,0.0,0.0015340830839882802,0.0015340830839882802,0.0015340830839882802,0.0015340830839882802,0.0015340830839882802,0.0015340830839882802
2016-05-20,0.0021753465066249554,0.006127260778355126,0.006127260778355125,0.006127260778355126,-0.006627260778355126,0.005627260778355125,0.006127260778355126,0.006127260778355126,0.006127260778355126,0.006127260778355126,0.006127260778355126,0.006127260778355126
2016-05-23,-0.0030642258133187104,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496,0.008608362806592496,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496,-0.008608362806592496
2016-05-24,0.0038439147048164647,0.010692430348859583,0.010692430348859583,0.010692430348859583,-0.010692430348859583,-0.0005,0.010692430348859583,0.010692430348859583,0.010692430348859583,0.010692430348859583,0.010692430348859583,0.010692430348859583
2016-05-25,0.0021186285043382487,0.005893225309828942,0.005893225309828942,0.005893225309828942,-0.005893225309828942,0.005393225309828942,0.005893225309828942,0.005893225309828942,0.005893225309828942,0.005893225309828942,0.005893225309828942,0.005893225309828942
2016-05-26,0.0033824479042312136,0.0092609336974534,0.0092609336974534,0.0092609336974534,-0.0092609336974534,0.0092609336974534,0.0092609336974534,0.0092609336974534,0.0092609336974534,0.0092609336974534,0.0092609336974534,0.0092609336974534
