ticker,section,key,title,style,applicability,sharpe,cagr,max_drawdown,calmar,ann_volatility,ann_turnover,hit_rate,params
TSLA,6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,active,0.7477969461696508,0.11492494083040805,-0.25876696067350125,0.4441252489548478,0.16329534380035102,1.1450760656481873,0.5175304878048781,"{""target_vol"": ""0.15"", ""vol_window"": ""63 (61% of folds)"", ""max_leverage"": ""1.0"", ""rebalance_threshold"": ""0.1 (78% of folds)"", ""annualization"": ""252""}"
TSLA,4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,active,0.7052518385493987,0.2497307427320572,-0.7234079507520503,0.34521426322787674,0.47698379629880394,6.722560975609759,0.3243140243902439,"{""formation"": ""126 (53% of folds)"", ""weighting"": ""inverse_vol"", ""ma_filter"": ""False (64% of folds)"", ""ma_length"": ""200 (70% of folds)""}"
TSLA,3.13,3.13.three_moving_averages,Three moving averages,technical,active,0.6777182990671353,0.23156375047234357,-0.6690418310594353,0.34611251452791786,0.47321869265294786,27.08231707317073,0.3467987804878049,"{""t1"": ""5 (38% of folds)"", ""t2"": ""10 (51% of folds)"", ""t3"": ""21 (38% of folds)"", ""kind"": ""sma""}"
TSLA,3.14,3.14.support_resistance,Support and resistance,technical,active,0.49762208744148995,0.13109648899780213,-0.7464587323227043,0.1756245634502502,0.46749618325297143,113.61128048780489,0.3490853658536585,"{""lookback"": ""3 (39% of folds)"", ""long_only"": ""True (66% of folds)""}"
TSLA,3.15,3.15.channel,Channel (Donchian),technical,active,0.49194851873732615,0.1281030497514133,-0.8160902916051503,0.15697166241182722,0.49754914893686814,14.117378048780488,0.38490853658536583,"{""length"": ""10 (43% of folds)"", ""mode"": ""reversion (52% of folds)"", ""long_only"": ""True (60% of folds)""}"
TSLA,4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,active,0.49103366959097033,0.12757110578766429,-0.6628394179807671,0.1924615560376433,0.45904788492748017,13.060975609756097,0.3079268292682927,"{""formation"": ""252"", ""fraction"": ""0.34"", ""ma_length"": ""100 (58% of folds)""}"
TSLA,10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,active,0.49027221137747196,0.12127243983570013,-0.7889618884212428,0.15371140433459102,0.5869306660602165,27.370426829268293,0.5148628048780488,"{""formation"": ""21 (36% of folds)"", ""vol_window"": ""63"", ""smoothing"": ""sign"", ""demean_returns"": ""False"", ""dollar_neutral"": ""False""}"
TSLA,3.12,3.12.two_moving_averages,Two moving averages,technical,active,0.30957887719798927,0.008019049629342634,-0.8796589595435909,0.009116089300680004,0.5872872860542935,16.806402439024392,0.5099085365853658,"{""fast"": ""5 (41% of folds)"", ""slow"": ""30 (44% of folds)"", ""kind"": ""sma"", ""stop_loss"": ""0.0""}"
TSLA,3.11,3.11.single_moving_average,Single moving average,technical,active,0.25082737936655203,0.007911010859652512,-0.7959049682286246,0.009939642514431529,0.46665151648196385,35.34146341463415,0.3429878048780488,"{""length"": ""20 (48% of folds)"", ""kind"": ""sma (84% of folds)"", ""lam"": ""0.9"", ""long_only"": ""True (73% of folds)""}"
TSLA,3.20,3.20.alpha_combo,Alpha combos,combo,active,0.2433769703043667,-0.029171760365283794,-0.9636106645307303,-0.030273388868615497,0.5872402485817866,57.141768292682926,0.5053353658536586,"{""d"": ""63 (56% of folds)"", ""n_factors"": ""2 (63% of folds)""}"
