fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,fitted_pair
29,2017-08-09,2018-08-08,2018-08-09,2018-09-07,252,21,-1.1459100362256176,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
30,2017-09-08,2018-09-07,2018-09-10,2018-10-08,252,21,-1.2108119163634128,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
31,2017-10-09,2018-10-08,2018-10-09,2018-11-06,252,21,-1.2369716450388568,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
32,2017-11-07,2018-11-06,2018-11-07,2018-12-07,252,21,-1.1730277610763844,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
33,2017-12-07,2018-12-07,2018-12-10,2019-01-09,252,21,-0.554227342895104,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
34,2018-01-09,2019-01-09,2019-01-10,2019-02-08,252,21,-0.5669494032189852,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
35,2018-02-08,2019-02-08,2019-02-11,2019-03-12,252,21,-0.8416240424368528,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
36,2018-03-12,2019-03-12,2019-03-13,2019-04-10,252,21,-1.1736818716254083,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
37,2018-04-11,2019-04-10,2019-04-11,2019-05-10,252,21,-1.298683458852656,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
38,2018-05-10,2019-05-10,2019-05-13,2019-06-11,252,21,-1.1890285102017384,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
39,2018-06-11,2019-06-11,2019-06-12,2019-07-11,252,21,-1.1735615287005128,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
40,2018-07-11,2019-07-11,2019-07-12,2019-08-09,252,21,-1.146044318953522,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
41,2018-08-09,2019-08-09,2019-08-12,2019-09-10,252,21,-0.7517938905434784,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
42,2018-09-10,2019-09-10,2019-09-11,2019-10-09,252,21,-0.6713594083453976,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
43,2018-10-09,2019-10-09,2019-10-10,2019-11-07,252,21,-0.9688974735045922,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
44,2018-11-07,2019-11-07,2019-11-08,2019-12-09,252,21,-1.205879831517423,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
45,2018-12-10,2019-12-09,2019-12-10,2020-01-09,252,21,-1.6166829338941904,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
46,2019-01-10,2020-01-09,2020-01-10,2020-02-10,252,21,-1.7963786286404713,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
47,2019-02-11,2020-02-10,2020-02-11,2020-03-11,252,21,-2.2887424241593735,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
48,2019-03-13,2020-03-11,2020-03-12,2020-04-09,252,21,-1.800949442374788,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
49,2019-04-11,2020-04-09,2020-04-13,2020-05-11,252,21,-1.5282614199719766,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
50,2019-05-13,2020-05-11,2020-05-12,2020-06-10,252,21,-1.5449561779599335,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
51,2019-06-12,2020-06-10,2020-06-11,2020-07-10,252,21,-1.366266678555898,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
52,2019-07-12,2020-07-10,2020-07-13,2020-08-10,252,21,-1.0199227060098872,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
53,2019-08-12,2020-08-10,2020-08-11,2020-09-09,252,21,-1.580129329055361,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
54,2019-09-11,2020-09-09,2020-09-10,2020-10-08,252,21,-1.6991055658890761,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
55,2019-10-10,2020-10-08,2020-10-09,2020-11-06,252,21,-1.2098224506788238,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
56,2019-11-08,2020-11-06,2020-11-09,2020-12-08,252,21,-0.9760839189005316,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
57,2019-12-10,2020-12-08,2020-12-09,2021-01-08,252,21,-1.1421096039085445,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
58,2020-01-10,2021-01-08,2021-01-11,2021-02-09,252,21,-1.0323775222859704,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
59,2020-02-11,2021-02-09,2021-02-10,2021-03-11,252,21,-0.6381376026346732,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
60,2020-03-12,2021-03-11,2021-03-12,2021-04-12,252,21,-0.7370909987101267,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
61,2020-04-13,2021-04-12,2021-04-13,2021-05-11,252,21,-0.6731043591713105,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
62,2020-05-12,2021-05-11,2021-05-12,2021-06-10,252,21,-0.9196994206451641,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
63,2020-06-11,2021-06-10,2021-06-11,2021-07-12,252,21,-1.3005888754626178,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
64,2020-07-13,2021-07-12,2021-07-13,2021-08-10,252,21,-1.2493840288957487,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
65,2020-08-11,2021-08-10,2021-08-11,2021-09-09,252,21,-0.18046735110610368,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
66,2020-09-10,2021-09-09,2021-09-10,2021-10-08,252,21,-0.134012810278816,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
67,2020-10-09,2021-10-08,2021-10-11,2021-11-08,252,21,-0.3282598724144841,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
68,2020-11-09,2021-11-08,2021-11-09,2021-12-08,252,21,-0.33527123811024695,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
69,2020-12-09,2021-12-08,2021-12-09,2022-01-07,252,21,-0.35270731277406214,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
70,2021-01-11,2022-01-07,2022-01-10,2022-02-08,252,21,-0.34736664665236416,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
71,2021-02-10,2022-02-08,2022-02-09,2022-03-10,252,21,-0.45710837566734003,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
72,2021-03-12,2022-03-10,2022-03-11,2022-04-08,252,21,-0.3814941134798855,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
73,2021-04-13,2022-04-08,2022-04-11,2022-05-10,252,21,-0.37053496763061944,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
74,2021-05-12,2022-05-10,2022-05-11,2022-06-09,252,21,-0.25788459661034396,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
75,2021-06-11,2022-06-09,2022-06-10,2022-07-12,252,21,0.09663375389196553,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
76,2021-07-13,2022-07-12,2022-07-13,2022-08-10,252,21,0.006478649375448312,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
77,2021-08-11,2022-08-10,2022-08-11,2022-09-09,252,21,-1.4834839485510203,"{""lookback"": 63, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
78,2021-09-10,2022-09-09,2022-09-12,2022-10-10,252,21,-1.4136221679625638,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
79,2021-10-11,2022-10-10,2022-10-11,2022-11-08,252,21,-1.1065846759063154,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
80,2021-11-09,2022-11-08,2022-11-09,2022-12-08,252,21,-1.4895882924616974,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
81,2021-12-09,2022-12-08,2022-12-09,2023-01-10,252,21,-1.2584914838036974,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
82,2022-01-10,2023-01-10,2023-01-11,2023-02-09,252,21,-1.4291747293251091,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
83,2022-02-09,2023-02-09,2023-02-10,2023-03-13,252,21,-1.2166814767036696,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
84,2022-03-11,2023-03-13,2023-03-14,2023-04-12,252,21,-0.9592149794991653,"{""lookback"": 21, ""min_correlation"": 0.0}",6,"[""GOOGL"", ""GOOG""]"
