fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.2348122478852737,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.1438, ""3.1.price_momentum_long_only"": 0.0645, ""3.4.low_volatility"": 0.017, ""3.6.multifactor"": -0.0118, ""3.9.mean_reversion_single_cluster"": 0.1235, ""3.11.single_moving_average"": -0.0336, ""3.12.two_moving_averages"": 0.0185, ""3.14.support_resistance"": -0.0184, ""3.15.channel"": -0.0115, ""4.4.mean_reversion_ibs"": 0.0737, ""4.6.multi_asset_trend"": 0.0555, ""10.4.trend_following"": -0.4282}"
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.7123862891801753,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0393, ""3.1.price_momentum_long_only"": 0.1128, ""3.4.low_volatility"": -0.1202, ""3.6.multifactor"": -0.0035, ""3.9.mean_reversion_single_cluster"": 0.2373, ""3.11.single_moving_average"": 0.075, ""3.12.two_moving_averages"": 0.012, ""3.14.support_resistance"": -0.1453, ""3.15.channel"": 0.0082, ""4.4.mean_reversion_ibs"": 0.0806, ""4.6.multi_asset_trend"": 0.1592, ""10.4.trend_following"": 0.0066}"
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,0.5427945940728618,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": -0.0552, ""3.1.price_momentum_long_only"": 0.067, ""3.4.low_volatility"": 0.0032, ""3.6.multifactor"": 0.04, ""3.9.mean_reversion_single_cluster"": 0.1078, ""3.11.single_moving_average"": 0.0745, ""3.12.two_moving_averages"": 0.0669, ""3.14.support_resistance"": -0.0676, ""3.15.channel"": 0.087, ""4.4.mean_reversion_ibs"": 0.1413, ""4.6.multi_asset_trend"": 0.0751, ""10.4.trend_following"": -0.2145}"
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,-0.722991165656153,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.06, ""3.1.price_momentum_long_only"": 0.0471, ""3.4.low_volatility"": 0.0844, ""3.6.multifactor"": 0.13, ""3.9.mean_reversion_single_cluster"": 0.0019, ""3.11.single_moving_average"": 0.1148, ""3.12.two_moving_averages"": 0.143, ""3.14.support_resistance"": -0.0599, ""3.15.channel"": 0.2068, ""4.4.mean_reversion_ibs"": 0.033, ""4.6.multi_asset_trend"": 0.0693, ""10.4.trend_following"": -0.0498}"
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,-0.4966967762468125,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0987, ""3.1.price_momentum_long_only"": 0.0398, ""3.4.low_volatility"": 0.0512, ""3.6.multifactor"": 0.0478, ""3.9.mean_reversion_single_cluster"": -0.0814, ""3.11.single_moving_average"": 0.0966, ""3.12.two_moving_averages"": 0.0212, ""3.14.support_resistance"": -0.063, ""3.15.channel"": 0.0445, ""4.4.mean_reversion_ibs"": 0.1143, ""4.6.multi_asset_trend"": 0.0478, ""10.4.trend_following"": 0.2939}"
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,-0.015298646703099097,"{""d"": 21, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.1373, ""3.1.price_momentum_long_only"": 0.0521, ""3.4.low_volatility"": 0.0292, ""3.6.multifactor"": 0.1046, ""3.9.mean_reversion_single_cluster"": 0.0233, ""3.11.single_moving_average"": 0.1134, ""3.12.two_moving_averages"": 0.0879, ""3.14.support_resistance"": -0.0105, ""3.15.channel"": 0.0906, ""4.4.mean_reversion_ibs"": 0.0873, ""4.6.multi_asset_trend"": 0.0624, ""10.4.trend_following"": 0.2014}"
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,0.30516995065717756,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0686, ""3.1.price_momentum_long_only"": -0.0144, ""3.4.low_volatility"": -0.0614, ""3.6.multifactor"": -0.1941, ""3.9.mean_reversion_single_cluster"": -0.0376, ""3.11.single_moving_average"": 0.0164, ""3.12.two_moving_averages"": -0.1717, ""3.14.support_resistance"": -0.1048, ""3.15.channel"": -0.1718, ""4.4.mean_reversion_ibs"": -0.047, ""4.6.multi_asset_trend"": -0.009, ""10.4.trend_following"": -0.1032}"
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,-0.16586298926958198,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.133, ""3.1.price_momentum_long_only"": 0.0367, ""3.4.low_volatility"": 0.0264, ""3.6.multifactor"": -0.0941, ""3.9.mean_reversion_single_cluster"": -0.048, ""3.11.single_moving_average"": 0.0661, ""3.12.two_moving_averages"": -0.1338, ""3.14.support_resistance"": -0.0101, ""3.15.channel"": -0.0687, ""4.4.mean_reversion_ibs"": 0.1427, ""4.6.multi_asset_trend"": 0.0412, ""10.4.trend_following"": -0.1992}"
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.38006150034764435,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1158, ""3.1.price_momentum_long_only"": 0.0077, ""3.4.low_volatility"": -0.0264, ""3.6.multifactor"": -0.1689, ""3.9.mean_reversion_single_cluster"": -0.0617, ""3.11.single_moving_average"": 0.0403, ""3.12.two_moving_averages"": -0.1406, ""3.14.support_resistance"": -0.0961, ""3.15.channel"": -0.1657, ""4.4.mean_reversion_ibs"": 0.0404, ""4.6.multi_asset_trend"": 0.0203, ""10.4.trend_following"": -0.1161}"
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,0.0913338499875915,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0671, ""3.1.price_momentum_long_only"": 0.0732, ""3.4.low_volatility"": 0.0191, ""3.6.multifactor"": -0.0696, ""3.9.mean_reversion_single_cluster"": 0.0738, ""3.11.single_moving_average"": 0.1377, ""3.12.two_moving_averages"": -0.0725, ""3.14.support_resistance"": 0.0268, ""3.15.channel"": -0.0347, ""4.4.mean_reversion_ibs"": 0.308, ""4.6.multi_asset_trend"": 0.0894, ""10.4.trend_following"": -0.0283}"
20,2016-11-07,2017-11-06,2017-11-07,2017-12-06,252,21,0.7720776826340866,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0696, ""3.1.price_momentum_long_only"": 0.0381, ""3.4.low_volatility"": 0.0406, ""3.6.multifactor"": 0.0848, ""3.9.mean_reversion_single_cluster"": 0.0606, ""3.11.single_moving_average"": 0.105, ""3.12.two_moving_averages"": 0.0561, ""3.14.support_resistance"": 0.0253, ""3.15.channel"": 0.0903, ""4.4.mean_reversion_ibs"": 0.2062, ""4.6.multi_asset_trend"": 0.0516, ""10.4.trend_following"": 0.1718}"
21,2016-12-07,2017-12-06,2017-12-07,2018-01-08,252,21,0.8369620220751973,"{""d"": 63, ""n_factors"": 1}",4,"{""3.1.price_momentum"": 0.0471, ""3.1.price_momentum_long_only"": 0.0586, ""3.4.low_volatility"": 0.0872, ""3.6.multifactor"": 0.1214, ""3.9.mean_reversion_single_cluster"": 0.1128, ""3.11.single_moving_average"": 0.1028, ""3.12.two_moving_averages"": 0.0249, ""3.14.support_resistance"": -0.0054, ""3.15.channel"": 0.1449, ""4.4.mean_reversion_ibs"": 0.1274, ""4.6.multi_asset_trend"": 0.0617, ""10.4.trend_following"": 0.106}"
