fold,train_start,train_end,test_start,test_end,train_days,test_days,in_sample_objective,params,grid_size,combo_weights
10,2016-01-08,2017-01-06,2017-01-09,2017-02-07,252,21,1.655257760799145,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0306, ""3.1.price_momentum_long_only"": 0.0282, ""3.4.low_volatility"": -0.0113, ""3.6.multifactor"": 0.0516, ""3.9.mean_reversion_single_cluster"": 0.0027, ""3.11.single_moving_average"": 0.1607, ""3.12.two_moving_averages"": 0.0815, ""3.14.support_resistance"": 0.1511, ""3.15.channel"": 0.1291, ""4.4.mean_reversion_ibs"": -0.0388, ""4.6.multi_asset_trend"": 0.0538, ""10.4.trend_following"": 0.2607}"
11,2016-02-09,2017-02-07,2017-02-08,2017-03-09,252,21,1.7557930394546741,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0254, ""3.1.price_momentum_long_only"": 0.037, ""3.4.low_volatility"": -0.0098, ""3.6.multifactor"": 0.0511, ""3.9.mean_reversion_single_cluster"": -0.0227, ""3.11.single_moving_average"": 0.1617, ""3.12.two_moving_averages"": 0.0851, ""3.14.support_resistance"": 0.1587, ""3.15.channel"": 0.1533, ""4.4.mean_reversion_ibs"": -0.0292, ""4.6.multi_asset_trend"": 0.0407, ""10.4.trend_following"": 0.2253}"
12,2016-03-10,2017-03-09,2017-03-10,2017-04-07,252,21,1.335677560386514,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1635, ""3.1.price_momentum_long_only"": 0.0338, ""3.4.low_volatility"": -0.1238, ""3.6.multifactor"": 0.0299, ""3.9.mean_reversion_single_cluster"": -0.1187, ""3.11.single_moving_average"": 0.0756, ""3.12.two_moving_averages"": -0.0139, ""3.14.support_resistance"": 0.1688, ""3.15.channel"": 0.1363, ""4.4.mean_reversion_ibs"": -0.0814, ""4.6.multi_asset_trend"": 0.0267, ""10.4.trend_following"": 0.0276}"
13,2016-04-11,2017-04-07,2017-04-10,2017-05-09,252,21,1.0602334427495335,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0645, ""3.1.price_momentum_long_only"": 0.0177, ""3.4.low_volatility"": -0.0568, ""3.6.multifactor"": -0.0568, ""3.9.mean_reversion_single_cluster"": -0.1477, ""3.11.single_moving_average"": 0.1451, ""3.12.two_moving_averages"": -0.0401, ""3.14.support_resistance"": 0.09, ""3.15.channel"": 0.0808, ""4.4.mean_reversion_ibs"": -0.1552, ""4.6.multi_asset_trend"": 0.01, ""10.4.trend_following"": 0.1353}"
14,2016-05-10,2017-05-09,2017-05-10,2017-06-08,252,21,1.5465471535544344,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.1283, ""3.1.price_momentum_long_only"": 0.0006, ""3.4.low_volatility"": -0.0189, ""3.6.multifactor"": -0.0558, ""3.9.mean_reversion_single_cluster"": -0.1254, ""3.11.single_moving_average"": 0.2306, ""3.12.two_moving_averages"": -0.0794, ""3.14.support_resistance"": 0.0278, ""3.15.channel"": 0.121, ""4.4.mean_reversion_ibs"": -0.1151, ""4.6.multi_asset_trend"": 0.0116, ""10.4.trend_following"": 0.0855}"
15,2016-06-09,2017-06-08,2017-06-09,2017-07-10,252,21,3.142336216370498,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0295, ""3.1.price_momentum_long_only"": 0.0631, ""3.4.low_volatility"": 0.0024, ""3.6.multifactor"": 0.0517, ""3.9.mean_reversion_single_cluster"": -0.0311, ""3.11.single_moving_average"": 0.2816, ""3.12.two_moving_averages"": 0.1773, ""3.14.support_resistance"": 0.1811, ""3.15.channel"": 0.0622, ""4.4.mean_reversion_ibs"": -0.0197, ""4.6.multi_asset_trend"": 0.0183, ""10.4.trend_following"": 0.0821}"
16,2016-07-11,2017-07-10,2017-07-11,2017-08-08,252,21,2.9332940872714968,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0045, ""3.1.price_momentum_long_only"": 0.0645, ""3.4.low_volatility"": 0.0181, ""3.6.multifactor"": -0.0256, ""3.9.mean_reversion_single_cluster"": -0.0769, ""3.11.single_moving_average"": 0.3006, ""3.12.two_moving_averages"": 0.1413, ""3.14.support_resistance"": 0.2043, ""3.15.channel"": 0.0552, ""4.4.mean_reversion_ibs"": -0.0329, ""4.6.multi_asset_trend"": 0.0477, ""10.4.trend_following"": -0.0284}"
17,2016-08-09,2017-08-08,2017-08-09,2017-09-07,252,21,2.904630807433186,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.0754, ""3.1.price_momentum_long_only"": 0.0795, ""3.4.low_volatility"": -0.0351, ""3.6.multifactor"": -0.0098, ""3.9.mean_reversion_single_cluster"": -0.0719, ""3.11.single_moving_average"": 0.2573, ""3.12.two_moving_averages"": -0.0304, ""3.14.support_resistance"": 0.2167, ""3.15.channel"": -0.0372, ""4.4.mean_reversion_ibs"": -0.1001, ""4.6.multi_asset_trend"": 0.0492, ""10.4.trend_following"": 0.0373}"
18,2016-09-08,2017-09-07,2017-09-08,2017-10-06,252,21,0.08830894157291132,"{""d"": 63, ""n_factors"": 2}",4,"{""3.1.price_momentum"": -0.0004, ""3.1.price_momentum_long_only"": 0.0128, ""3.4.low_volatility"": -0.0802, ""3.6.multifactor"": -0.1022, ""3.9.mean_reversion_single_cluster"": 0.0268, ""3.11.single_moving_average"": 0.0411, ""3.12.two_moving_averages"": -0.3435, ""3.14.support_resistance"": 0.0332, ""3.15.channel"": -0.177, ""4.4.mean_reversion_ibs"": -0.1316, ""4.6.multi_asset_trend"": 0.0474, ""10.4.trend_following"": 0.0038}"
19,2016-10-07,2017-10-06,2017-10-09,2017-11-06,252,21,1.6431314817525402,"{""d"": 21, ""n_factors"": 2}",4,"{""3.1.price_momentum"": 0.072, ""3.1.price_momentum_long_only"": 0.0352, ""3.4.low_volatility"": -0.0539, ""3.6.multifactor"": 0.059, ""3.9.mean_reversion_single_cluster"": 0.0246, ""3.11.single_moving_average"": 0.133, ""3.12.two_moving_averages"": -0.113, ""3.14.support_resistance"": 0.1125, ""3.15.channel"": -0.1076, ""4.4.mean_reversion_ibs"": -0.0784, ""4.6.multi_asset_trend"": 0.0473, ""10.4.trend_following"": 0.1637}"
